obj,time,oracles,method
2336663.0,0.01013493537902832,0,gurobi
2354585.0,0.044844865798950195,0,gurobi
2377603.0,0.15323686599731445,0,gurobi
2387971.0,0.15366697311401367,0,gurobi
2423713.0,0.15407776832580566,0,gurobi
2436245.0,0.2658059597015381,0,gurobi
2451566.0,0.5980157852172852,0,gurobi
2507121.0,0.6384758949279785,0,gurobi
2510027.0,0.7698957920074463,0,gurobi
2510027.0,2.192138910293579,0,gurobi
2510027.0,28.38184094429016,0,gurobi
2510027.0,30.00597095489502,0,gurobi
2221981,0.000459,8,iqs
2242112,0.001222,15,iqs
2249044,0.001493,22,iqs
2286787,0.00198,38,iqs
2310216,0.002371,41,iqs
2204542,0.001421,27,iqs
2235657,0.002069,34,iqs
2313778,0.002973,50,iqs
2313403,0.002412,38,iqs
2342512,0.003454,53,iqs
2394762,0.002968,48,iqs
2227385,0.002485,36,iqs
2351383,0.003868,56,iqs
2221729,0.000476,9,iqs
2231274,0.00331,45,iqs
2418556,0.003866,62,iqs
2351428,0.00437,62,iqs
2226881,0.001146,12,iqs
2253229,0.003809,54,iqs
2181495,0.003047,40,iqs
2393169,0.00477,68,iqs
2293813,0.001519,18,iqs
2439740,0.004569,77,iqs
2298478,0.004089,57,iqs
2294929,0.001929,21,iqs
2183522,0.003712,43,iqs
2394560,0.005423,74,iqs
2181495,0.001046,14,iqs
2329191,0.002375,24,iqs
2309856,0.004622,67,iqs
2216942,0.004024,46,iqs
2448947,0.005832,97,iqs
2405164,0.005979,82,iqs
2232887,0.001762,25,iqs
2414928,0.002779,32,iqs
2220730,0.000727,16,iqs
2326902,0.004393,52,iqs
2474434,0.006199,100,iqs
2438903,0.006474,90,iqs
2311373,0.00502,70,iqs
2255946,0.002124,28,iqs
2434521,0.003209,41,iqs
2272321,0.001377,19,iqs
2339238,0.004721,56,iqs
2490550,0.006598,103,iqs
2443859,0.006729,94,iqs
2348275,0.005362,74,iqs
2303564,0.00176,22,iqs
2279025,0.00303,39,iqs
2193296,0.000852,16,iqs
2350929,0.005348,71,iqs
2295093,0.003507,45,iqs
2309965,0.002329,28,iqs
2444479,0.007701,105,iqs
2450101,0.005637,63,iqs
2371657,0.005727,75,iqs
2263871,0.001652,24,iqs
2342230,0.003843,48,iqs
2379241,0.006268,86,iqs
2307565,0.002074,30,iqs
2457325,0.006152,70,iqs
2449255,0.008565,114,iqs
2334362,0.002883,36,iqs
2383406,0.006903,92,iqs
2312559,0.002544,34,iqs
2473834,0.008848,117,iqs
2371245,0.004989,60,iqs
2374517,0.007101,90,iqs
2380557,0.003279,42,iqs
2383193,0.002954,38,iqs
2386030,0.007484,99,iqs
2412418,0.005288,63,iqs
2497933,0.009401,125,iqs
2252859,0.003169,30,iqs
2497693,0.011015,141,iqs
2249328,0.001337,17,iqs
2410426,0.00378,48,iqs
2397782,0.007765,98,iqs
2424885,0.008108,115,iqs
2391008,0.00371,45,iqs
2446499,0.005778,68,iqs
2298262,0.003908,34,iqs
2440572,0.004029,51,iqs
2401450,0.008254,104,iqs
2306051,0.002444,29,iqs
2510027,0.011036,147,iqs
2392489,0.004121,48,iqs
2257675,0.001828,22,iqs
2326867,0.004514,42,iqs
2426856,0.009194,132,iqs
2453643,0.006784,75,iqs
2220730,0.001055,14,iqs
2459066,0.011035,111,iqs
2410111,0.009095,115,iqs
2309151,0.003137,35,iqs
2397959,0.004725,54,iqs
2302213,0.002563,25,iqs
