obj,time,oracles,method
11920864.0,1.2040278911590576,0,gurobi
12071538.0,1.2049100399017334,0,gurobi
12327024.0,1.2595620155334473,0,gurobi
12903021.0,2.1617579460144043,0,gurobi
12982884.0,2.2002599239349365,0,gurobi
13007876.0,7.653180837631226,0,gurobi
13086330.0,7.679429054260254,0,gurobi
13131267.0,9.40902304649353,0,gurobi
13148439.0,15.014327049255371,0,gurobi
13150962.0,15.01515793800354,0,gurobi
13192421.0,15.037046909332275,0,gurobi
13239126.0,15.080872058868408,0,gurobi
11704269,0.00172,7,iqs
11767844,0.002683,10,iqs
11709712,0.001911,4,iqs
11799580,0.00319,13,iqs
11750785,0.003135,12,iqs
11831717,0.003831,19,iqs
11796453,0.003706,19,iqs
11838606,0.00423,25,iqs
11754450,0.002755,6,iqs
11709712,0.001811,6,iqs
11816227,0.004392,22,iqs
11768270,0.003432,9,iqs
11831734,0.004993,29,iqs
11830297,0.003997,12,iqs
11718167,0.003068,15,iqs
11867904,0.005927,31,iqs
11869406,0.005483,32,iqs
11835265,0.004511,18,iqs
11745581,0.003548,18,iqs
11709712,0.002347,8,iqs
11890398,0.007079,38,iqs
11908727,0.004415,21,iqs
11877273,0.006526,38,iqs
11841345,0.005585,32,iqs
11920033,0.004755,24,iqs
11934742,0.007695,44,iqs
11863437,0.005989,36,iqs
11937125,0.005249,27,iqs
11969778,0.008162,51,iqs
11709712,0.0028,4,iqs
11736001,0.004796,20,iqs
11895942,0.007214,46,iqs
11974714,0.009083,57,iqs
11855616,0.003892,7,iqs
11878079,0.008888,53,iqs
11771593,0.005689,26,iqs
12101757,0.009586,63,iqs
11700399,0.00252,6,iqs
11822442,0.006284,29,iqs
11886478,0.009605,57,iqs
11943524,0.008118,54,iqs
11727485,0.003709,9,iqs
12128324,0.01092,71,iqs
11916316,0.010318,60,iqs
11733420,0.004156,14,iqs
12034206,0.009512,62,iqs
11927813,0.01092,63,iqs
11869299,0.006819,19,iqs
11709712,0.003042,6,iqs
11831043,0.008023,37,iqs
12061574,0.010014,65,iqs
11816140,0.005484,28,iqs
11736006,0.004019,9,iqs
11886500,0.007628,22,iqs
12087293,0.010674,68,iqs
11933499,0.012493,72,iqs
11841002,0.006024,34,iqs
11689400,0.003,7,iqs
11784484,0.004462,15,iqs
