obj,time,oracles,method
1046675.0,0.008234024047851562,0,gurobi
1145595.0,0.009430885314941406,0,gurobi
1154220.0,0.0509798526763916,0,gurobi
1159420.0,0.051390886306762695,0,gurobi
1161660.0,0.051666975021362305,0,gurobi
1170215.0,0.051943063735961914,0,gurobi
1177583.0,0.10859990119934082,0,gurobi
1043646,0.000217,8,iqs
1100622,0.000752,11,iqs
1000274,0.000188,7,iqs
1105753,0.001248,21,iqs
1010344,0.000799,14,iqs
1121742,0.00155,30,iqs
1000501,0.000124,4,iqs
1026237,0.001018,17,iqs
1127000,0.001805,34,iqs
1127421,0.002028,40,iqs
1025461,0.000915,16,iqs
1050248,0.00142,30,iqs
980025,0.000165,6,iqs
1145595,0.002368,49,iqs
1026237,0.001225,25,iqs
1106946,0.00177,33,iqs
1000274,0.000723,9,iqs
1028026,0.00157,29,iqs
1107126,0.002128,39,iqs
1003250,0.001023,16,iqs
1000501,0.000134,5,iqs
1033223,0.001887,37,iqs
1124601,0.002362,42,iqs
1155716,0.003315,72,iqs
1057478,0.001368,19,iqs
1044720,0.002159,43,iqs
1041245,0.000775,14,iqs
1128473,0.002648,51,iqs
1079459,0.002375,46,iqs
1072568,0.001755,25,iqs
1000501,0.000244,8,iqs
1072552,0.001103,17,iqs
1161660,0.004023,89,iqs
1139649,0.002899,55,iqs
1000501,0.000193,4,iqs
1089689,0.00206,34,iqs
1035998,0.000926,16,iqs
1097407,0.001406,25,iqs
1092210,0.00273,57,iqs
1170215,0.004397,98,iqs
1156052,0.003154,61,iqs
1041016,0.000753,12,iqs
1126242,0.002331,37,iqs
1038945,0.001201,22,iqs
1107168,0.001635,28,iqs
1154220,0.003045,61,iqs
1177583,0.004724,112,iqs
1142196,0.002711,45,iqs
1000501,0.000286,6,iqs
1108386,0.001853,31,iqs
1054533,0.001457,29,iqs
1090027,0.001096,22,iqs
1144843,0.003194,55,iqs
1157258,0.003657,75,iqs
1177583,0.004298,85,iqs
1118757,0.002139,37,iqs
1023670,0.000952,12,iqs
1063615,0.00187,36,iqs
1145595,0.001474,30,iqs
1147281,0.003573,61,iqs
1000274,0.000219,6,iqs
1125875,0.002489,45,iqs
1148844,0.003959,70,iqs
1073718,0.002227,42,iqs
1177583,0.001765,33,iqs
1033845,0.001275,15,iqs
1000501,0.000782,10,iqs
1142622,0.002877,54,iqs
1000501,0.000196,7,iqs
1096371,0.002539,49,iqs
1035998,0.001562,20,iqs
1080669,0.001103,14,iqs
1156125,0.003292,67,iqs
1035322,0.000712,10,iqs
1106345,0.002766,52,iqs
1156052,0.005004,95,iqs
1177583,0.005935,127,iqs
1091343,0.001777,26,iqs
969796,0.000298,9,iqs
1087495,0.001452,18,iqs
1035745,0.000997,16,iqs
1158463,0.003789,84,iqs
1111965,0.0031,59,iqs
1095620,0.002054,29,iqs
980025,0.000323,13,iqs
1000025,0.000859,12,iqs
1138486,0.001737,23,iqs
1054108,0.001211,19,iqs
1156702,0.006044,115,iqs
1158764,0.004121,95,iqs
1147281,0.002094,31,iqs
1041016,0.000861,19,iqs
1061848,0.001152,18,iqs
1101213,0.002684,48,iqs
1112015,0.003413,65,iqs
1114070,0.001421,22,iqs
1177583,0.004403,99,iqs
1158764,0.006401,123,iqs
1072552,0.001137,27,iqs
1152373,0.002469,40,iqs
1068121,0.001483,21,iqs
1129711,0.003634,69,iqs
1105894,0.003035,57,iqs
1091043,0.001423,33,iqs
1120273,0.002088,42,iqs
1076263,0.001731,28,iqs
1108750,0.003267,60,iqs
1140624,0.004023,77,iqs
1155716,0.00316,56,iqs
1093998,0.001938,39,iqs
1129911,0.002498,51,iqs
1159461,0.004351,83,iqs
1081215,0.002083,38,iqs
1177583,0.007807,156,iqs
1123111,0.002204,42,iqs
1158463,0.003698,71,iqs
1123258,0.004056,85,iqs
1149806,0.002917,67,iqs
1170215,0.004679,91,iqs
1082175,0.002591,44,iqs
1131332,0.002508,48,iqs
1139506,0.004361,88,iqs
1135363,0.002836,52,iqs
1086049,0.002989,50,iqs
1177583,0.005318,108,iqs
1145250,0.004682,95,iqs
1155716,0.003789,81,iqs
1145595,0.00319,55,iqs
1113768,0.003381,56,iqs
1155520,0.005003,98,iqs
1170215,0.005354,97,iqs
1155716,0.003687,64,iqs
1177583,0.004043,72,iqs
1119369,0.00404,67,iqs
1158463,0.004907,104,iqs
1177583,0.005904,107,iqs
1157258,0.006013,116,iqs
1140624,0.004618,75,iqs
1161660,0.005369,115,iqs
1143831,0.004909,78,iqs
1170215,0.00634,128,iqs
1177583,0.006988,137,iqs
1158764,0.006031,94,iqs
1170215,0.008957,162,iqs
1177583,0.00668,107,iqs
1177583,0.011153,199,iqs
969796,0.00023,7,iqs
1000501,0.000246,8,iqs
991229,0.001323,13,iqs
1021875,0.000998,11,iqs
1008372,0.000196,8,iqs
1008279,0.001763,19,iqs
1031968,0.001446,17,iqs
1049233,0.000935,12,iqs
1065194,0.002162,23,iqs
1102121,0.001862,20,iqs
1055668,0.001306,15,iqs
1001332,0.000164,3,iqs
1114804,0.002567,27,iqs
1123278,0.002298,26,iqs
1132243,0.002917,33,iqs
1055034,0.000899,6,iqs
1105141,0.001763,23,iqs
1000501,0.000266,7,iqs
1126389,0.002968,39,iqs
1117246,0.001317,12,iqs
1126599,0.002158,30,iqs
1060209,0.001093,13,iqs
1151965,0.003935,51,iqs
1133960,0.003403,45,iqs
1000501,0.000453,9,iqs
1145250,0.002604,36,iqs
1128765,0.001957,24,iqs
1068493,0.001584,16,iqs
1154736,0.004699,71,iqs
1019558,0.0013,19,iqs
1000501,0.000204,3,iqs
1145250,0.004585,75,iqs
1130959,0.002535,38,iqs
1095324,0.002155,28,iqs
1145595,0.003658,56,iqs
1047040,0.001745,23,iqs
1169277,0.005284,81,iqs
1024239,0.000952,6,iqs
1011672,0.000196,3,iqs
1145595,0.00509,84,iqs
1128765,0.002603,37,iqs
1131163,0.003243,55,iqs
1050371,0.002137,26,iqs
1177583,0.004889,84,iqs
1000501,0.000398,15,iqs
1156052,0.003196,50,iqs
1177583,0.005997,92,iqs
1148844,0.007143,122,iqs
1156702,0.003855,61,iqs
1047308,0.001371,9,iqs
1057489,0.002474,31,iqs
1000501,0.000247,3,iqs
1012209,0.000894,7,iqs
980025,0.000305,8,iqs
1035322,0.001226,23,iqs
1000501,0.000295,14,iqs
1177583,0.003973,67,iqs
1177583,0.004437,73,iqs
1156052,0.007884,140,iqs
1078376,0.001837,16,iqs
1066616,0.002939,37,iqs
1012109,0.000969,9,iqs
1080710,0.00133,10,iqs
1024678,0.001085,11,iqs
1068808,0.001513,29,iqs
1038269,0.001041,24,iqs
1156702,0.008249,148,iqs
1119327,0.002208,19,iqs
1093665,0.003272,40,iqs
1071968,0.001425,18,iqs
1100457,0.001944,19,iqs
1085901,0.001482,14,iqs
1085545,0.002061,36,iqs
1040977,0.001427,27,iqs
1161194,0.00856,151,iqs
1106774,0.003733,49,iqs
1121516,0.003054,39,iqs
1090022,0.001851,25,iqs
1101217,0.00231,22,iqs
1123278,0.001846,17,iqs
1094045,0.002386,39,iqs
1046155,0.001813,30,iqs
1177583,0.009986,176,iqs
1146597,0.003412,47,iqs
1109269,0.00237,36,iqs
1158276,0.002666,25,iqs
1128329,0.002219,23,iqs
1157258,0.004179,57,iqs
1098989,0.002666,45,iqs
1058369,0.002197,35,iqs
1113149,0.002776,44,iqs
1177583,0.003102,34,iqs
1156052,0.002685,29,iqs
1169277,0.004516,61,iqs
1148593,0.0046,71,iqs
1105832,0.003066,52,iqs
1078409,0.002505,40,iqs
1113844,0.00342,61,iqs
1156702,0.003324,50,iqs
1111039,0.003508,58,iqs
1155716,0.00514,80,iqs
1111315,0.002899,44,iqs
1129462,0.004082,73,iqs
1158463,0.005604,89,iqs
1160353,0.003844,61,iqs
1177583,0.005992,105,iqs
1137579,0.003906,67,iqs
1119107,0.003374,50,iqs
1143076,0.004476,81,iqs
1177583,0.00613,100,iqs
1152473,0.004382,76,iqs
1130249,0.003764,53,iqs
1157258,0.005007,93,iqs
1160391,0.005309,97,iqs
1142881,0.004239,60,iqs
1162303,0.00562,94,iqs
1166406,0.005553,100,iqs
1156125,0.004899,68,iqs
1170215,0.006256,114,iqs
1177583,0.006865,113,iqs
1177583,0.006606,122,iqs
1156125,0.007153,108,iqs
1161660,0.006094,90,iqs
1170215,0.007039,110,iqs
1177583,0.008379,130,iqs
1177583,0.010661,164,iqs
1000501,0.000232,6,iqs
1013610,0.001003,12,iqs
980025,0.000228,6,iqs
1047740,0.001286,15,iqs
992755,0.001057,14,iqs
1060488,0.001633,21,iqs
1000501,0.000289,7,iqs
1014002,0.001447,20,iqs
1064195,0.002084,29,iqs
1012358,0.000999,11,iqs
1021015,0.001764,27,iqs
1067782,0.002418,33,iqs
969796,0.00022,7,iqs
1024239,0.001547,20,iqs
1054061,0.002158,31,iqs
1068532,0.002874,36,iqs
991042,0.001006,12,iqs
1054862,0.001917,28,iqs
1081215,0.00255,37,iqs
1093165,0.00317,42,iqs
984636,0.000237,6,iqs
1029442,0.001368,16,iqs
1065174,0.002446,36,iqs
1099955,0.003009,44,iqs
1114605,0.003606,48,iqs
980025,0.000263,6,iqs
1025990,0.001148,22,iqs
1047188,0.001776,19,iqs
1080123,0.002764,40,iqs
1143128,0.003413,47,iqs
1116270,0.003982,51,iqs
1088011,0.001557,36,iqs
1077080,0.002166,22,iqs
1120916,0.004264,54,iqs
1000501,0.000226,5,iqs
1110240,0.003285,56,iqs
1144843,0.004113,67,iqs
1030711,0.001002,12,iqs
1093573,0.002575,42,iqs
1129911,0.001628,15,iqs
1000501,0.000161,4,iqs
980025,0.000181,7,iqs
992435,0.000554,20,iqs
1125928,0.004957,62,iqs
1000501,0.000166,6,iqs
1000501,0.000185,7,iqs
1011123,0.001096,9,iqs
1113510,0.003951,69,iqs
1153588,0.004656,73,iqs
1111982,0.003048,30,iqs
1095101,0.00321,50,iqs
1135363,0.00205,21,iqs
1011123,0.001177,10,iqs
1026237,0.00116,11,iqs
1009399,0.001555,23,iqs
1170215,0.00549,70,iqs
1035745,0.001772,16,iqs
1098954,0.001204,10,iqs
1016059,0.001435,15,iqs
1113844,0.004443,80,iqs
1118178,0.003565,45,iqs
1170215,0.00541,89,iqs
1104866,0.003738,56,iqs
1145595,0.002559,30,iqs
1023561,0.001672,18,iqs
1034278,0.001596,17,iqs
1017490,0.001929,28,iqs
1054625,0.002271,23,iqs
1105141,0.001564,13,iqs
1023670,0.001834,21,iqs
1128251,0.004863,84,iqs
1177583,0.006696,99,iqs
1177583,0.005736,96,iqs
1127695,0.004016,59,iqs
1155716,0.003008,39,iqs
1144655,0.004523,68,iqs
1065380,0.001988,24,iqs
1044720,0.001921,20,iqs
1038219,0.002334,32,iqs
1056092,0.002647,30,iqs
1145250,0.001817,16,iqs
1026766,0.002323,29,iqs
1137118,0.005295,96,iqs
1157258,0.00326,42,iqs
1170215,0.004449,70,iqs
1159461,0.004893,75,iqs
1075307,0.00234,28,iqs
1054938,0.002271,25,iqs
1048029,0.002617,35,iqs
1090077,0.002969,37,iqs
1050480,0.00263,32,iqs
1145595,0.002387,32,iqs
1138723,0.005665,105,iqs
1160391,0.003981,62,iqs
1083655,0.002614,34,iqs
1109178,0.002683,32,iqs
1073012,0.00296,42,iqs
1177583,0.005709,110,iqs
1115891,0.003298,40,iqs
1094068,0.002984,38,iqs
1155520,0.002742,40,iqs
1101737,0.00319,43,iqs
1177583,0.006148,109,iqs
1170215,0.004365,65,iqs
1114742,0.003006,37,iqs
1111951,0.003037,41,iqs
1076028,0.003259,45,iqs
1124225,0.003583,49,iqs
1142510,0.005958,108,iqs
1132400,0.003484,46,iqs
1156052,0.00325,57,iqs
1132043,0.003273,40,iqs
1122296,0.003342,49,iqs
1080660,0.003652,52,iqs
1133154,0.004032,55,iqs
1139909,0.003864,52,iqs
1156052,0.006802,122,iqs
1132967,0.003668,43,iqs
1129713,0.003773,52,iqs
1177583,0.006515,106,iqs
