obj,time,oracles,method
9033155.0,0.3859708309173584,0,gurobi
9085927.0,0.4127919673919678,0,gurobi
9281029.0,0.8074820041656494,0,gurobi
9978847.0,12.979719877243042,0,gurobi
9990419.0,25.906757831573486,0,gurobi
8581536,0.002617,8,iqs
8669678,0.00372,11,iqs
8699207,0.004246,15,iqs
8771322,0.004764,18,iqs
8739444,0.011455,40,iqs
8810231,0.005091,24,iqs
8788509,0.012445,43,iqs
8805097,0.012814,46,iqs
8829799,0.00586,27,iqs
8806531,0.01346,51,iqs
8833084,0.006592,34,iqs
8635910,0.002679,3,iqs
8822874,0.013789,56,iqs
8880295,0.006987,37,iqs
8929055,0.007359,40,iqs
8682085,0.003616,6,iqs
8866935,0.014414,62,iqs
8733435,0.003955,11,iqs
8967299,0.007826,43,iqs
8895545,0.015044,65,iqs
9011571,0.008394,46,iqs
8741301,0.004806,15,iqs
8922093,0.015802,68,iqs
8771126,0.005287,18,iqs
8850646,0.005694,22,iqs
8951316,0.016723,78,iqs
8896225,0.006247,25,iqs
8965244,0.017058,81,iqs
8939613,0.00691,31,iqs
9022593,0.011305,60,iqs
8984582,0.007261,34,iqs
9031770,0.012116,63,iqs
9011603,0.007996,40,iqs
9040034,0.012655,67,iqs
9013504,0.008446,47,iqs
9019417,0.019819,89,iqs
9020930,0.020415,93,iqs
9041789,0.020859,96,iqs
8647103,0.025103,63,iqs
8683590,0.025912,70,iqs
8696069,0.026225,73,iqs
9017698,0.010848,55,iqs
8728544,0.026529,76,iqs
9063995,0.015682,79,iqs
9040433,0.011623,58,iqs
8738358,0.027961,84,iqs
9055853,0.012472,66,iqs
9083354,0.017224,89,iqs
8809706,0.028266,87,iqs
8628321,0.022693,48,iqs
8816130,0.028604,91,iqs
9106573,0.013482,75,iqs
8633241,0.023767,54,iqs
8860067,0.029256,98,iqs
9047408,0.025883,113,iqs
8634405,0.024232,57,iqs
9126895,0.014292,79,iqs
8930987,0.029943,101,iqs
8657553,0.024828,66,iqs
8662443,0.02526,70,iqs
9089944,0.020582,103,iqs
8962211,0.030784,107,iqs
9055913,0.027533,121,iqs
9065842,0.027981,126,iqs
8708844,0.026416,76,iqs
8739825,0.026823,79,iqs
8755456,0.027139,82,iqs
8922015,0.027456,85,iqs
9142316,0.018174,93,iqs
8934216,0.02865,92,iqs
8997400,0.034542,121,iqs
8934823,0.029077,95,iqs
8621874,0.03942,69,iqs
9002897,0.034825,125,iqs
8668593,0.040369,72,iqs
8956022,0.029765,98,iqs
8717908,0.040715,75,iqs
9030891,0.035732,133,iqs
8738489,0.041255,78,iqs
9096967,0.03619,136,iqs
8960952,0.030905,107,iqs
8740536,0.041559,82,iqs
8785528,0.042012,88,iqs
8998076,0.031603,111,iqs
8800577,0.042319,91,iqs
8879016,0.042716,94,iqs
9024307,0.032719,120,iqs
9032111,0.033022,123,iqs
8720062,0.020218,40,iqs
9043585,0.033433,126,iqs
8733114,0.021244,43,iqs
8761355,0.02184,47,iqs
9080980,0.034425,132,iqs
8904078,0.045125,112,iqs
8797026,0.022198,53,iqs
8942408,0.045439,116,iqs
8806736,0.022619,60,iqs
8631970,0.025019,57,iqs
8957636,0.045863,120,iqs
8832975,0.022901,64,iqs
8678281,0.025673,63,iqs
9086605,0.037664,150,iqs
8930498,0.023203,67,iqs
8960194,0.046292,123,iqs
8733684,0.025989,66,iqs
8805362,0.026456,71,iqs
8995895,0.047193,131,iqs
8834170,0.026861,78,iqs
8973868,0.02436,73,iqs
8866443,0.027204,85,iqs
9006422,0.047876,143,iqs
9081124,0.03773,148,iqs
9088178,0.038043,152,iqs
8910619,0.028286,91,iqs
9103620,0.033837,129,iqs
9012288,0.048775,150,iqs
8928437,0.028577,94,iqs
8975962,0.02594,81,iqs
8979326,0.026351,84,iqs
9014236,0.050063,158,iqs
9120338,0.041761,161,iqs
8984268,0.027084,87,iqs
9110588,0.035396,143,iqs
8988544,0.027571,93,iqs
8933045,0.030373,101,iqs
8942340,0.030975,105,iqs
9056560,0.051652,164,iqs
9064193,0.052101,171,iqs
8998214,0.028973,99,iqs
8965826,0.031819,113,iqs
8998971,0.02929,102,iqs
9065991,0.053092,179,iqs
9074802,0.053391,183,iqs
9047827,0.030521,108,iqs
9005287,0.033291,122,iqs
9088420,0.044105,175,iqs
9075947,0.054514,196,iqs
9073229,0.031494,114,iqs
8567774,0.05321,78,iqs
9077866,0.055066,199,iqs
