obj,time,oracles,method
1051032.0,0.006936073303222656,0,gurobi
1127030.0,0.0202329158782959,0,gurobi
1132828.0,0.021123886108398438,0,gurobi
1134346.0,0.1920769214630127,0,gurobi
1141858.0,0.2557559013366699,0,gurobi
1157014.0,0.26887011528015137,0,gurobi
1159382.0,0.3644568920135498,0,gurobi
990422,0.000241,8,iqs
1026994,0.000904,11,iqs
1010355,0.000242,12,iqs
1035773,0.00136,17,iqs
1038584,0.00086,15,iqs
1046182,0.00172,20,iqs
1069520,0.001241,23,iqs
1051553,0.002046,26,iqs
1073041,0.00156,27,iqs
1057897,0.002291,33,iqs
980471,0.001228,28,iqs
1084405,0.002598,37,iqs
1082723,0.001998,38,iqs
988819,0.00048,17,iqs
1000470,0.001875,34,iqs
1093217,0.002888,44,iqs
1103150,0.002456,49,iqs
990422,0.001195,21,iqs
1003381,0.002273,42,iqs
1010355,0.001643,29,iqs
1023983,0.00257,45,iqs
1107047,0.003006,66,iqs
990422,0.00132,30,iqs
1114236,0.004056,68,iqs
1030617,0.002179,37,iqs
1089983,0.002976,48,iqs
1023767,0.002043,37,iqs
988819,0.001168,29,iqs
1112230,0.003792,84,iqs
1031601,0.002501,42,iqs
1115382,0.004526,76,iqs
1103397,0.003417,57,iqs
1045838,0.002347,43,iqs
988819,0.000327,9,iqs
1048880,0.001845,33,iqs
1049074,0.002785,46,iqs
1063826,0.002699,49,iqs
1115222,0.003935,76,iqs
988819,0.000471,13,iqs
1128054,0.005355,93,iqs
999184,0.000987,12,iqs
1072443,0.002233,37,iqs
1079619,0.00314,49,iqs
1095251,0.003118,57,iqs
990422,0.000333,8,iqs
1032421,0.001167,19,iqs
1124257,0.003619,71,iqs
1005155,0.001245,18,iqs
1115695,0.006396,128,iqs
1091419,0.002648,43,iqs
1009349,0.001634,28,iqs
990422,0.000167,6,iqs
1129061,0.004667,93,iqs
1029638,0.001057,14,iqs
1084162,0.00152,22,iqs
1149934,0.003936,79,iqs
1089195,0.003563,59,iqs
1129012,0.007489,133,iqs
1107053,0.003053,46,iqs
1132828,0.006908,140,iqs
1035242,0.00199,31,iqs
1023051,0.000799,9,iqs
1051953,0.001514,20,iqs
988819,0.001536,37,iqs
1101820,0.003905,62,iqs
1144376,0.006003,127,iqs
1006322,0.002183,40,iqs
1011097,0.000821,20,iqs
1133255,0.008098,144,iqs
1113352,0.003838,73,iqs
1043406,0.00244,43,iqs
1054688,0.001157,12,iqs
1089821,0.001863,26,iqs
1135080,0.007852,171,iqs
1085418,0.002426,43,iqs
1107613,0.004466,82,iqs
1013119,0.002475,43,iqs
1036291,0.001493,30,iqs
1149934,0.008387,148,iqs
1149934,0.007001,155,iqs
1078298,0.002815,50,iqs
1132424,0.004572,89,iqs
1055425,0.001524,20,iqs
1105235,0.002646,44,iqs
1105980,0.002957,61,iqs
1023108,0.002792,46,iqs
1048635,0.001776,33,iqs
1149934,0.005042,105,iqs
1140960,0.004977,95,iqs
1092816,0.003987,85,iqs
1140960,0.009048,200,iqs
1078841,0.001917,26,iqs
1026851,0.003096,57,iqs
1134346,0.003426,78,iqs
1052733,0.002223,47,iqs
1091262,0.003375,61,iqs
1141720,0.005422,103,iqs
1108708,0.004786,81,iqs
1093059,0.005403,130,iqs
1149934,0.010137,223,iqs
1094155,0.002723,41,iqs
1063191,0.002511,50,iqs
1149934,0.005732,113,iqs
1133794,0.003831,70,iqs
1141720,0.004533,98,iqs
1106770,0.005875,145,iqs
1102804,0.002773,53,iqs
1113147,0.003189,52,iqs
1103662,0.003091,59,iqs
1134346,0.00345,55,iqs
1113334,0.006594,163,iqs
1134346,0.004801,93,iqs
1144376,0.003468,65,iqs
1138392,0.007012,137,iqs
1115382,0.006819,166,iqs
1149934,0.005914,131,iqs
1140960,0.00425,73,iqs
1149934,0.004009,81,iqs
1141720,0.005692,115,iqs
1149934,0.004552,79,iqs
1149934,0.006235,128,iqs
1140960,0.009435,184,iqs
1141720,0.009951,199,iqs
1134346,0.010577,216,iqs
1142943,0.011472,233,iqs
1149934,0.012245,234,iqs
1144376,0.020465,314,iqs
1149934,0.023023,346,iqs
1011603,0.000219,8,iqs
1050612,0.001095,20,iqs
985832,0.000358,16,iqs
1071012,0.00161,33,iqs
1012733,0.001176,19,iqs
1093381,0.001978,40,iqs
1041704,0.00168,29,iqs
1138801,0.002473,48,iqs
988819,0.00091,28,iqs
1043157,0.002159,38,iqs
1144376,0.003037,56,iqs
1025859,0.001669,37,iqs
1053762,0.00203,41,iqs
1079506,0.002977,56,iqs
990422,0.000945,28,iqs
1149934,0.003777,77,iqs
1067786,0.002418,48,iqs
988819,0.000601,17,iqs
1086859,0.003304,62,iqs
1052784,0.00171,34,iqs
1025508,0.001363,20,iqs
1090708,0.003063,64,iqs
1001571,0.000521,19,iqs
1124886,0.003937,74,iqs
1064402,0.002277,41,iqs
1069737,0.001655,23,iqs
1056487,0.001339,23,iqs
1097422,0.004227,85,iqs
1103554,0.002905,53,iqs
1071788,0.002168,29,iqs
1140960,0.004761,91,iqs
1060573,0.001783,29,iqs
1106198,0.004887,100,iqs
1119633,0.003381,59,iqs
1087216,0.002614,33,iqs
988819,0.000273,3,iqs
1079623,0.002234,35,iqs
1005724,0.001965,30,iqs
1134544,0.00537,111,iqs
1149934,0.005782,110,iqs
1120225,0.003127,41,iqs
1000378,0.001095,6,iqs
1129061,0.004448,73,iqs
1009070,0.000413,8,iqs
1032421,0.002794,39,iqs
1089821,0.003128,51,iqs
1134346,0.003734,47,iqs
1008959,0.001417,9,iqs
1055041,0.001263,14,iqs
1149934,0.006978,134,iqs
988819,0.00037,6,iqs
1034282,0.003217,44,iqs
1075302,0.001849,15,iqs
1064073,0.001593,20,iqs
1011395,0.001175,9,iqs
1096430,0.004956,80,iqs
1064118,0.002054,28,iqs
1066103,0.003746,51,iqs
1059597,0.001578,12,iqs
988819,0.00143,24,iqs
1092147,0.002386,23,iqs
1133043,0.007063,110,iqs
1109201,0.00576,90,iqs
1005724,0.000401,9,iqs
1091080,0.002758,39,iqs
1131611,0.00439,60,iqs
1064075,0.001995,15,iqs
1002163,0.002312,28,iqs
1149934,0.007572,118,iqs
1111850,0.003155,32,iqs
1120225,0.006251,99,iqs
1011077,0.001313,19,iqs
1100611,0.003081,45,iqs
1081390,0.00252,22,iqs
1011395,0.002782,31,iqs
1113923,0.00352,35,iqs
1095767,0.002939,28,iqs
1134346,0.007317,115,iqs
1101836,0.00345,48,iqs
1133255,0.00612,90,iqs
1055869,0.001847,27,iqs
1141720,0.009242,105,iqs
1061794,0.003262,47,iqs
1125069,0.003852,56,iqs
1141720,0.008028,128,iqs
1099310,0.00382,42,iqs
1079889,0.002267,31,iqs
1149934,0.009642,108,iqs
1149934,0.006913,103,iqs
1085116,0.003748,57,iqs
1131611,0.004302,64,iqs
1115324,0.005794,77,iqs
1080904,0.002792,37,iqs
1102683,0.00517,64,iqs
1098952,0.004412,70,iqs
1149934,0.00491,70,iqs
1117629,0.006858,92,iqs
1149934,0.010481,166,iqs
1081390,0.003823,53,iqs
1115382,0.005319,85,iqs
1108708,0.006557,92,iqs
1084867,0.004705,74,iqs
1092147,0.005094,80,iqs
1132828,0.006256,105,iqs
1101028,0.005565,88,iqs
1118392,0.005993,99,iqs
1142943,0.009592,127,iqs
1133794,0.007729,128,iqs
1149934,0.007128,122,iqs
1144376,0.011235,133,iqs
1149934,0.01205,148,iqs
1142943,0.009267,149,iqs
