obj,time,oracles,method
4042382.0,0.015681028366088867,0,gurobi
4065421.0,0.4459090232849121,0,gurobi
4111601.0,1.0991599559783936,0,gurobi
4362389.0,2.1374549865722656,0,gurobi
4368300.0,2.617856979370117,0,gurobi
4374580.0,2.890777111053467,0,gurobi
3793232,0.001599,21,iqs
3809948,0.002472,30,iqs
3808612,0.001565,14,iqs
3819587,0.002914,36,iqs
3901531,0.002318,17,iqs
3869505,0.0034,45,iqs
3917764,0.002607,20,iqs
3928074,0.002957,23,iqs
3924269,0.004009,58,iqs
3956040,0.004405,64,iqs
3939253,0.004146,34,iqs
3962148,0.00462,38,iqs
3790719,0.00351,28,iqs
3958095,0.005596,72,iqs
3978484,0.004916,44,iqs
3792825,0.004409,35,iqs
3965202,0.006038,76,iqs
4038527,0.005796,52,iqs
3966926,0.006429,79,iqs
3820371,0.005152,41,iqs
4000566,0.006803,85,iqs
3854363,0.005548,44,iqs
3772298,0.005099,39,iqs
3895085,0.005882,47,iqs
4038810,0.006946,60,iqs
4001296,0.007689,92,iqs
3900745,0.00614,54,iqs
3863448,0.006138,48,iqs
4028190,0.00804,96,iqs
3936714,0.006762,60,iqs
4050892,0.008253,68,iqs
4048368,0.008538,99,iqs
3981006,0.007488,67,iqs
4089051,0.009245,77,iqs
3836973,0.004486,40,iqs
4064972,0.009888,107,iqs
3902373,0.008366,63,iqs
3790426,0.001106,10,iqs
4005563,0.00868,76,iqs
4085750,0.010347,110,iqs
4089229,0.010226,89,iqs
3929723,0.005683,46,iqs
3827299,0.002007,14,iqs
4098433,0.010721,114,iqs
4020949,0.009473,85,iqs
3969816,0.009952,77,iqs
4100699,0.011087,98,iqs
3851282,0.002766,23,iqs
4037270,0.010279,93,iqs
4020989,0.010564,80,iqs
4002431,0.007325,59,iqs
4098686,0.01209,120,iqs
4027839,0.011223,83,iqs
3926994,0.003876,29,iqs
4139114,0.012435,123,iqs
4023918,0.007994,67,iqs
4039999,0.011536,101,iqs
4156437,0.012753,126,iqs
4023998,0.008798,76,iqs
3961219,0.005105,40,iqs
4044809,0.012095,109,iqs
4115001,0.014235,124,iqs
4071592,0.012991,103,iqs
4059256,0.009208,82,iqs
4120195,0.015651,133,iqs
3973327,0.007156,59,iqs
4060531,0.013482,129,iqs
4076400,0.01436,109,iqs
3806517,0.012585,42,iqs
3811841,0.006357,33,iqs
4072941,0.011267,96,iqs
3808226,0.013379,45,iqs
3840084,0.011689,49,iqs
4143921,0.016508,142,iqs
3876395,0.007419,40,iqs
4075090,0.011704,101,iqs
4083385,0.015624,117,iqs
4074066,0.014939,138,iqs
4169033,0.017053,154,iqs
3943393,0.01411,53,iqs
3989992,0.009333,74,iqs
3855204,0.01275,57,iqs
4185474,0.01712,149,iqs
4085667,0.012201,106,iqs
3908904,0.008142,50,iqs
4130746,0.015276,141,iqs
4088314,0.016264,123,iqs
4170743,0.018254,170,iqs
3985152,0.01476,61,iqs
3786116,0.006677,34,iqs
3838980,0.008186,38,iqs
3931042,0.008488,56,iqs
3786247,0.007996,38,iqs
3949090,0.013485,67,iqs
4012869,0.00987,80,iqs
4192351,0.017536,156,iqs
3971143,0.014021,75,iqs
4097322,0.017484,129,iqs
3829777,0.009113,58,iqs
3986240,0.015782,67,iqs
4173187,0.016494,160,iqs
3852153,0.00974,46,iqs
3947249,0.009149,59,iqs
3877138,0.008431,44,iqs
4114427,0.012574,109,iqs
4172088,0.020744,191,iqs
4073120,0.010636,83,iqs
3991396,0.014633,78,iqs
4198051,0.018645,166,iqs
3883794,0.009957,62,iqs
4112446,0.018227,135,iqs
4005344,0.016264,71,iqs
