obj,time,oracles,method
1108878.0,0.006303071975708008,0,gurobi
1114054.0,0.019484996795654297,0,gurobi
1160291.0,0.05501604080200195,0,gurobi
1180517.0,0.05542302131652832,0,gurobi
1190194.0,0.05569291114807129,0,gurobi
1206827.0,0.2797698974609375,0,gurobi
1212254.0,0.3472750186920166,0,gurobi
1087001,0.000337,11,iqs
1070509,0.001293,32,iqs
1110355,0.001249,20,iqs
1117401,0.002009,35,iqs
1143009,0.001587,26,iqs
1035267,0.001297,44,iqs
1130655,0.002712,47,iqs
1153510,0.002126,39,iqs
1059988,0.001919,50,iqs
1161031,0.003158,56,iqs
1127235,0.002273,53,iqs
1087001,0.000346,10,iqs
1029579,0.001306,35,iqs
1155897,0.003015,60,iqs
1149189,0.002683,59,iqs
1110355,0.001099,13,iqs
1170614,0.004322,79,iqs
1036666,0.002114,44,iqs
1070509,0.000304,6,iqs
1161829,0.003832,75,iqs
1112573,0.001695,21,iqs
1193515,0.004878,87,iqs
1068454,0.002634,51,iqs
1117401,0.001037,9,iqs
1166808,0.004297,90,iqs
1120217,0.00214,25,iqs
1050405,0.000556,22,iqs
1184507,0.004378,88,iqs
1094886,0.003068,54,iqs
1140123,0.001456,12,iqs
1143071,0.00246,35,iqs
1168358,0.004887,101,iqs
1100391,0.001298,25,iqs
1075733,0.000952,21,iqs
1100337,0.003516,67,iqs
1158853,0.00284,47,iqs
1166043,0.00207,24,iqs
1206827,0.005484,109,iqs
1175557,0.005453,115,iqs
1109816,0.001676,28,iqs
1080447,0.001699,31,iqs
1070509,0.00072,19,iqs
1107770,0.00387,77,iqs
1092452,0.002064,40,iqs
1029579,0.000593,18,iqs
1175950,0.006042,134,iqs
1118756,0.002128,34,iqs
1174340,0.003163,47,iqs
1159796,0.003234,56,iqs
1097172,0.001366,22,iqs
1112244,0.004194,83,iqs
1079645,0.00023,6,iqs
1140092,0.002502,48,iqs
1042971,0.001181,25,iqs
1152966,0.002514,37,iqs
1161162,0.003601,60,iqs
1129108,0.001783,25,iqs
1029579,0.000565,18,iqs
1135209,0.004552,86,iqs
1183857,0.004296,76,iqs
1099893,0.000898,15,iqs
1166211,0.002837,58,iqs
1075269,0.001424,33,iqs
1162620,0.002858,44,iqs
1169396,0.003847,66,iqs
1135507,0.002218,35,iqs
1089600,0.0013,26,iqs
1147650,0.005111,99,iqs
1114716,0.001259,18,iqs
1192911,0.004893,90,iqs
1191996,0.00317,67,iqs
1178355,0.00962,192,iqs
1093759,0.001903,45,iqs
1178621,0.004211,69,iqs
1158041,0.002543,42,iqs
1169473,0.00349,61,iqs
1109036,0.001626,30,iqs
1147847,0.005561,115,iqs
1137456,0.001694,25,iqs
1206827,0.003497,70,iqs
1180614,0.009954,205,iqs
1125456,0.002242,48,iqs
1165392,0.002821,45,iqs
1201546,0.015304,185,iqs
1141596,0.001965,35,iqs
1177007,0.003962,78,iqs
1148731,0.005907,121,iqs
1156850,0.002053,33,iqs
1178747,0.005899,113,iqs
1133073,0.002629,56,iqs
1206827,0.003353,55,iqs
1156402,0.002246,38,iqs
1178702,0.004399,89,iqs
1160076,0.006172,127,iqs
1184348,0.002401,36,iqs
1168090,0.002722,50,iqs
1208675,0.006624,133,iqs
1154420,0.00295,59,iqs
1168209,0.006409,133,iqs
1170203,0.003068,56,iqs
1166319,0.003242,65,iqs
1175440,0.003393,68,iqs
1186677,0.006897,150,iqs
1182569,0.006022,119,iqs
1171530,0.00381,73,iqs
1193515,0.003875,74,iqs
1188810,0.004132,85,iqs
1199106,0.007877,173,iqs
1206827,0.011633,175,iqs
1176285,0.004933,95,iqs
1182718,0.005228,104,iqs
1188750,0.007777,147,iqs
1189245,0.008608,164,iqs
1190471,0.007102,131,iqs
1192911,0.007284,130,iqs
1196167,0.010005,196,iqs
1201539,0.010255,200,iqs
1196167,0.00832,156,iqs
1201546,0.010999,213,iqs
1208675,0.014641,252,iqs
1201546,0.013447,150,iqs
1201539,0.014898,225,iqs
