obj,time,oracles,method
264256.0,0.002747058868408203,0,gurobi
268824.0,0.0034360885620117188,0,gurobi
273943.0,0.007300853729248047,0,gurobi
239107,0.000139,8,iqs
243288,0.000861,11,iqs
222535,0.000157,12,iqs
269869,0.001165,14,iqs
245623,8.7e-05,3,iqs
233277,0.000921,16,iqs
254471,0.000824,9,iqs
238056,0.001346,22,iqs
243288,0.000108,7,iqs
264256,0.001183,18,iqs
257384,0.001714,25,iqs
269869,0.001487,24,iqs
269869,0.000795,15,iqs
262543,0.002008,28,iqs
222535,0.000164,3,iqs
264296,0.002334,37,iqs
238057,0.000801,13,iqs
243326,0.00104,16,iqs
222535,0.000136,9,iqs
253162,0.001347,24,iqs
228830,0.000848,17,iqs
264296,0.00169,31,iqs
222535,8.3e-05,3,iqs
254471,0.001142,23,iqs
241130,0.00079,11,iqs
243288,0.000121,3,iqs
269869,0.002614,75,iqs
259781,0.001712,40,iqs
259484,0.001088,14,iqs
253162,0.000781,7,iqs
262543,0.002055,48,iqs
228830,0.000118,3,iqs
257384,0.001142,13,iqs
262770,0.001616,49,iqs
245646,0.000773,11,iqs
262543,0.001485,16,iqs
262770,0.00288,76,iqs
264256,0.001947,56,iqs
259781,0.001068,14,iqs
269869,0.001812,33,iqs
228830,0.000184,13,iqs
269869,0.00317,92,iqs
269869,0.002275,72,iqs
262543,0.001371,23,iqs
222535,0.000147,8,iqs
243326,0.00091,21,iqs
269869,0.001728,32,iqs
269869,0.009108,179,iqs
233277,0.000814,11,iqs
245646,0.001282,24,iqs
222535,8.6e-05,3,iqs
246358,0.001147,24,iqs
246389,0.001549,27,iqs
245623,0.000741,6,iqs
259484,0.001452,30,iqs
259484,0.001954,41,iqs
253162,0.001121,24,iqs
262770,0.001736,41,iqs
262770,0.002383,52,iqs
257384,0.001545,32,iqs
264256,0.002749,65,iqs
264296,0.002281,60,iqs
264296,0.00189,40,iqs
269869,0.003265,92,iqs
269869,0.00363,102,iqs
269869,0.003091,84,iqs
229213,0.000147,9,iqs
253162,0.000944,12,iqs
222535,0.000137,6,iqs
259484,0.001383,31,iqs
238056,0.000858,12,iqs
239107,0.000121,6,iqs
262770,0.001759,43,iqs
257384,0.001282,26,iqs
222535,0.000119,13,iqs
262770,0.000833,10,iqs
264296,0.00217,51,iqs
262543,0.001641,30,iqs
243326,0.000855,24,iqs
264256,0.001339,35,iqs
245623,0.001265,27,iqs
264296,0.002255,55,iqs
222535,0.000125,4,iqs
269869,0.001698,43,iqs
269869,0.003253,89,iqs
254471,0.00162,33,iqs
