obj,time,oracles,method
318219.0,0.0026400089263916016,0,gurobi
322708.0,0.0031671524047851562,0,gurobi
324350.0,0.013082027435302734,0,gurobi
301277,0.000173,11,iqs
324350,0.000895,14,iqs
301277,0.000107,7,iqs
310478,0.000793,10,iqs
295007,0.000131,10,iqs
324350,0.001196,16,iqs
303122,0.000735,19,iqs
311587,0.001055,24,iqs
295007,0.000215,15,iqs
314609,0.001367,27,iqs
320737,0.000911,18,iqs
318219,0.001694,30,iqs
322708,0.001312,28,iqs
320737,0.002007,36,iqs
295007,0.000294,14,iqs
324350,0.001754,39,iqs
303122,0.00104,20,iqs
322708,0.002849,65,iqs
293935,0.00048,28,iqs
308326,0.001352,24,iqs
324350,0.003293,74,iqs
293935,0.000154,8,iqs
308326,0.001189,35,iqs
324350,0.00175,35,iqs
324350,0.000897,11,iqs
311587,0.001538,38,iqs
277220,0.000293,23,iqs
314609,0.001941,47,iqs
293935,0.001113,33,iqs
294622,0.000355,25,iqs
318219,0.002564,71,iqs
295007,0.001427,38,iqs
318219,0.001116,33,iqs
318219,0.001717,44,iqs
320737,0.001481,42,iqs
291511,0.000182,9,iqs
320737,0.003529,109,iqs
320737,0.002407,65,iqs
293935,0.000897,21,iqs
324350,0.002181,74,iqs
306222,0.000181,8,iqs
322708,0.004173,134,iqs
324350,0.001237,24,iqs
322708,0.003314,91,iqs
308326,0.000814,14,iqs
293935,0.000131,9,iqs
324350,0.004631,151,iqs
324350,0.003695,104,iqs
322708,0.001158,21,iqs
310478,0.000785,13,iqs
324350,0.001501,28,iqs
322708,0.001109,21,iqs
324350,0.001852,55,iqs
277220,0.00014,7,iqs
293935,0.000128,6,iqs
295712,0.000935,10,iqs
295007,0.00088,12,iqs
303122,0.001295,17,iqs
308326,0.0013,20,iqs
308326,0.000103,3,iqs
311587,0.001599,20,iqs
322708,0.001667,36,iqs
324350,0.000935,13,iqs
314609,0.002058,33,iqs
308326,0.000282,15,iqs
324350,0.002389,67,iqs
324350,0.001117,21,iqs
318219,0.003116,72,iqs
277220,0.000162,9,iqs
301277,0.000195,8,iqs
324350,0.003873,99,iqs
293133,0.000998,20,iqs
306222,0.00102,23,iqs
303122,0.001388,23,iqs
320737,0.001477,30,iqs
310478,0.00173,26,iqs
277220,0.000387,21,iqs
311587,0.00221,40,iqs
294622,0.00111,24,iqs
322708,0.002315,66,iqs
277220,0.000242,13,iqs
318219,0.002675,49,iqs
295007,0.001467,30,iqs
324350,0.002751,76,iqs
303122,0.000117,3,iqs
291511,0.000999,20,iqs
320737,0.003037,55,iqs
301277,0.001812,37,iqs
311587,9.6e-05,3,iqs
308326,0.000851,9,iqs
301277,0.001408,26,iqs
324350,0.00359,82,iqs
308326,0.002288,43,iqs
314609,0.000855,7,iqs
324350,0.001244,18,iqs
308326,0.000217,13,iqs
310478,0.002816,64,iqs
277220,0.000868,46,iqs
306222,0.001838,37,iqs
310478,0.001011,30,iqs
318219,0.001386,19,iqs
324350,0.003162,72,iqs
291511,0.001515,52,iqs
324350,0.002241,41,iqs
311174,0.001418,36,iqs
301277,0.001923,59,iqs
320737,0.00275,54,iqs
322708,0.002049,51,iqs
320737,0.002296,74,iqs
324350,0.003073,60,iqs
324350,0.002505,59,iqs
324350,0.002937,105,iqs
308326,0.000109,6,iqs
311587,0.000888,13,iqs
295007,0.000281,23,iqs
314609,0.001242,16,iqs
308326,0.000906,27,iqs
320737,0.001707,31,iqs
295007,0.000358,31,iqs
314609,0.001243,30,iqs
295712,0.001239,38,iqs
308326,0.000303,29,iqs
318219,0.001758,46,iqs
306222,0.001581,41,iqs
324350,0.002891,84,iqs
311076,0.001079,39,iqs
318219,0.001861,45,iqs
308326,0.000235,17,iqs
320737,0.001413,45,iqs
320737,0.002682,85,iqs
322708,0.000991,20,iqs
295007,0.000127,7,iqs
324350,0.001894,58,iqs
324350,0.003332,107,iqs
322708,0.000181,5,iqs
308326,0.000834,14,iqs
324350,0.001757,46,iqs
320737,0.003556,103,iqs
324350,0.001055,26,iqs
324350,0.001212,22,iqs
301277,0.000185,12,iqs
322708,0.004205,136,iqs
311174,0.000975,22,iqs
324350,0.004664,153,iqs
320737,0.001497,33,iqs
293935,0.000222,6,iqs
324350,0.001971,49,iqs
301277,0.001052,11,iqs
293935,0.000127,8,iqs
308326,0.00146,18,iqs
298541,0.000855,14,iqs
301277,0.000329,26,iqs
324350,0.001906,26,iqs
294622,9.2e-05,4,iqs
322708,0.001041,34,iqs
310478,0.001388,32,iqs
324350,0.001538,53,iqs
295007,0.000855,12,iqs
324350,0.001894,47,iqs
308326,0.001243,15,iqs
311587,0.001633,24,iqs
320737,0.002014,35,iqs
324350,0.002608,65,iqs
