obj,time,oracles,method
323777.0,0.0027930736541748047,0,gurobi
250576,9.6e-05,3,iqs
281103,0.000802,6,iqs
268891,7.1e-05,3,iqs
290024,0.001163,19,iqs
272336,0.000849,9,iqs
253929,9.8e-05,8,iqs
307871,0.001625,31,iqs
299109,0.001219,14,iqs
281103,0.000899,13,iqs
250576,7.9e-05,3,iqs
290114,0.001195,19,iqs
252812,0.000827,16,iqs
299109,0.001639,35,iqs
250576,0.000107,3,iqs
293422,0.001207,20,iqs
307871,0.002815,92,iqs
307871,0.002107,55,iqs
290114,0.00092,20,iqs
299109,0.001621,23,iqs
250576,0.000101,3,iqs
299109,0.001292,30,iqs
252812,0.000825,9,iqs
250576,9.1e-05,3,iqs
307871,0.001975,58,iqs
253929,0.001192,17,iqs
307871,0.002947,65,iqs
280738,0.000789,7,iqs
299109,0.001486,20,iqs
250576,8.3e-05,3,iqs
307871,0.001235,18,iqs
272336,0.000787,14,iqs
307871,0.002075,40,iqs
250576,0.000105,3,iqs
299109,0.001087,20,iqs
299109,0.000759,6,iqs
307871,0.001656,48,iqs
250576,8.2e-05,3,iqs
272461,0.000688,8,iqs
278484,0.000975,14,iqs
250576,7.2e-05,3,iqs
299109,0.001224,18,iqs
307871,0.002231,62,iqs
261992,0.000803,17,iqs
250576,7.3e-05,3,iqs
307871,0.001939,49,iqs
263707,0.001076,20,iqs
272461,0.000771,9,iqs
281103,0.001462,33,iqs
280738,0.001074,17,iqs
307871,0.001734,36,iqs
299109,0.001373,27,iqs
307871,0.001712,36,iqs
250576,8.3e-05,3,iqs
250576,0.000112,3,iqs
264945,0.000802,6,iqs
261992,0.000772,9,iqs
272336,0.001168,12,iqs
250576,8.2e-05,3,iqs
290024,0.001183,17,iqs
272461,0.001612,18,iqs
266625,0.000839,8,iqs
253929,7.9e-05,3,iqs
307871,0.001675,32,iqs
299109,0.002079,27,iqs
279338,0.001248,11,iqs
261992,0.000875,11,iqs
253929,8.8e-05,3,iqs
263707,0.00127,15,iqs
307871,0.002642,43,iqs
307871,0.001858,31,iqs
261774,0.000799,6,iqs
264945,0.001775,48,iqs
250576,9.2e-05,3,iqs
264945,0.001193,12,iqs
293422,0.002081,53,iqs
261774,0.000787,9,iqs
278484,0.001626,19,iqs
250576,9.1e-05,3,iqs
299109,0.001974,22,iqs
280738,0.001177,15,iqs
299109,0.002559,62,iqs
272461,0.000784,6,iqs
307871,0.001475,22,iqs
250576,0.000103,8,iqs
307871,0.00291,65,iqs
307871,0.002759,65,iqs
279338,0.001103,9,iqs
272461,0.000744,15,iqs
250576,9.7e-05,3,iqs
307871,0.00156,17,iqs
261992,0.000845,6,iqs
307871,0.001116,21,iqs
268891,0.000124,3,iqs
266625,0.001311,18,iqs
293422,0.000761,12,iqs
279338,0.001641,26,iqs
299109,0.001202,27,iqs
250576,0.000111,3,iqs
281103,0.002268,62,iqs
307871,0.002091,57,iqs
250576,0.000152,3,iqs
264945,0.000806,9,iqs
299109,0.002597,66,iqs
276081,0.000852,6,iqs
278484,0.001236,12,iqs
307871,0.003092,78,iqs
299109,0.001198,9,iqs
280738,0.001573,23,iqs
307871,0.001573,17,iqs
307871,0.001911,33,iqs
250576,0.000147,4,iqs
250576,0.000105,6,iqs
253929,0.000976,7,iqs
261992,0.000796,9,iqs
250576,8.7e-05,6,iqs
272336,0.001328,10,iqs
263707,0.001256,18,iqs
281103,0.000751,12,iqs
299109,0.001686,16,iqs
266625,0.001593,31,iqs
272336,0.000143,7,iqs
299109,0.001295,41,iqs
307871,0.002323,28,iqs
268891,0.002033,44,iqs
299109,0.000903,10,iqs
307871,0.001944,75,iqs
264945,8.3e-05,4,iqs
278484,0.002508,50,iqs
307871,0.001388,18,iqs
278484,0.000799,7,iqs
299109,0.002982,63,iqs
268891,9.8e-05,4,iqs
299109,0.001184,10,iqs
307871,0.003373,73,iqs
272336,0.000921,7,iqs
250576,0.000113,6,iqs
307871,0.001754,25,iqs
299109,0.00123,11,iqs
252812,0.0008,10,iqs
307871,0.001199,16,iqs
250576,0.000143,8,iqs
307871,0.002101,44,iqs
281103,0.000827,11,iqs
293422,0.001323,27,iqs
253929,0.000132,7,iqs
299109,0.001734,36,iqs
281103,0.000859,14,iqs
250576,9.9e-05,6,iqs
250576,0.000167,4,iqs
253929,0.000781,11,iqs
307871,0.002472,62,iqs
299109,0.00174,46,iqs
250576,0.000125,6,iqs
278484,0.000824,10,iqs
299109,0.001124,18,iqs
307871,0.002174,55,iqs
281103,0.000941,17,iqs
299109,0.001194,24,iqs
307871,0.001536,26,iqs
299109,0.001334,26,iqs
307871,0.00183,43,iqs
307871,0.002023,52,iqs
