obj,time,oracles,method
298237.0,0.0028231143951416016,0,gurobi
302266.0,0.012144088745117188,0,gurobi
249274,9.9e-05,3,iqs
250174,0.000782,6,iqs
250174,0.000268,14,iqs
263709,0.001065,9,iqs
269020,0.001016,17,iqs
274770,0.001409,12,iqs
283043,0.001351,25,iqs
276660,0.000442,21,iqs
283043,0.001724,18,iqs
285274,0.001681,36,iqs
283223,0.001216,27,iqs
282412,0.00022,13,iqs
285420,0.002245,31,iqs
298449,0.002048,42,iqs
289111,0.001642,36,iqs
298449,0.000991,24,iqs
249274,0.000209,13,iqs
298449,0.002532,38,iqs
250174,0.000184,10,iqs
296009,0.000902,20,iqs
296009,0.002405,66,iqs
270879,0.000836,13,iqs
289111,0.001161,16,iqs
285420,0.00013,8,iqs
298449,0.003286,100,iqs
289111,0.000759,11,iqs
296009,0.001891,46,iqs
298449,0.002652,72,iqs
249274,0.000225,15,iqs
298449,0.001265,35,iqs
263978,0.00014,8,iqs
298449,0.002225,50,iqs
250174,0.000913,22,iqs
283223,0.000897,17,iqs
296009,0.001201,33,iqs
253134,0.000315,20,iqs
296009,0.00133,42,iqs
298449,0.001865,54,iqs
275351,0.000201,15,iqs
270879,0.000967,26,iqs
298449,0.002258,77,iqs
285420,0.000852,23,iqs
285420,0.001303,33,iqs
249274,0.000138,9,iqs
289111,0.001225,26,iqs
298449,0.001686,39,iqs
274770,0.000746,12,iqs
282412,0.0011,15,iqs
296009,0.002182,65,iqs
283043,0.001434,18,iqs
298449,0.00254,75,iqs
288678,0.001763,24,iqs
296009,0.002136,36,iqs
298449,0.003201,77,iqs
253134,0.000134,8,iqs
250174,0.000169,13,iqs
283043,0.000998,15,iqs
269020,0.001054,23,iqs
288678,0.001417,21,iqs
263709,0.000131,7,iqs
283043,0.00146,32,iqs
289111,0.001825,27,iqs
270879,0.000822,10,iqs
288678,0.001858,35,iqs
296009,0.002405,38,iqs
285420,0.0002,8,iqs
289111,0.001227,18,iqs
296009,0.002223,43,iqs
298449,0.00302,62,iqs
298449,0.001035,16,iqs
296009,0.001663,29,iqs
249274,0.000257,17,iqs
298449,0.002827,61,iqs
298449,0.002254,50,iqs
250174,0.001076,25,iqs
250174,0.000198,8,iqs
274770,0.001532,31,iqs
270879,0.00097,12,iqs
298449,0.001941,39,iqs
250174,0.000291,20,iqs
289111,0.001464,21,iqs
269020,0.001072,23,iqs
296009,0.001864,28,iqs
269300,0.0015,34,iqs
250174,0.000145,3,iqs
298449,0.002301,38,iqs
274770,0.001895,42,iqs
269020,0.00093,16,iqs
296009,0.002271,50,iqs
265991,0.000117,3,iqs
283043,0.001308,21,iqs
270879,0.000866,6,iqs
289111,0.001641,25,iqs
249274,0.000146,8,iqs
275351,0.001204,9,iqs
298449,0.003539,89,iqs
296009,0.00204,33,iqs
252554,0.000877,14,iqs
282412,0.001605,20,iqs
298449,0.002545,46,iqs
250174,0.000122,9,iqs
283223,0.001947,26,iqs
276660,0.001226,22,iqs
261722,0.000858,17,iqs
249274,0.000138,8,iqs
289111,0.002428,41,iqs
283043,0.001615,29,iqs
283223,0.001174,23,iqs
269020,0.000783,11,iqs
289111,0.001911,33,iqs
296009,0.003103,65,iqs
285274,0.001643,36,iqs
283223,0.001119,17,iqs
296009,0.002434,52,iqs
296009,0.00205,40,iqs
285274,0.001469,23,iqs
298449,0.004698,131,iqs
298449,0.002545,60,iqs
290360,0.002163,51,iqs
298449,0.003349,96,iqs
298449,0.002649,69,iqs
250174,0.000112,3,iqs
263709,0.000171,3,iqs
263219,0.000893,9,iqs
289111,0.000812,9,iqs
270879,0.000176,29,iqs
269020,0.00128,12,iqs
296009,0.001321,30,iqs
274770,0.000859,36,iqs
269300,0.001644,18,iqs
298449,0.001761,43,iqs
283043,0.001275,43,iqs
285420,0.00023,11,iqs
274770,0.002011,21,iqs
288678,0.001607,51,iqs
298449,0.001033,19,iqs
283043,0.0024,33,iqs
298449,0.001986,58,iqs
250174,0.000389,24,iqs
290360,0.002814,43,iqs
269300,0.000101,3,iqs
274770,0.001235,29,iqs
298449,0.003382,66,iqs
298449,0.00084,9,iqs
296009,0.001644,32,iqs
250174,8.8e-05,3,iqs
298449,0.002194,57,iqs
269020,0.000836,12,iqs
283223,0.001257,21,iqs
250174,0.000323,21,iqs
289111,0.001678,31,iqs
253134,0.001041,24,iqs
253134,0.000211,20,iqs
296009,0.002207,52,iqs
282556,0.001421,27,iqs
289111,0.000959,28,iqs
296009,0.001275,32,iqs
285420,0.001822,34,iqs
282412,0.000457,21,iqs
298449,0.003356,91,iqs
298449,0.002312,47,iqs
250174,0.000228,12,iqs
296009,0.001237,25,iqs
298449,0.002675,77,iqs
298449,0.001667,36,iqs
274770,0.001211,32,iqs
298449,0.000144,7,iqs
298449,0.001539,38,iqs
