obj,time,oracles,method
2245925.0,0.0107879638671875,0,gurobi
2246552.0,0.0481719970703125,0,gurobi
2323064.0,0.11738109588623047,0,gurobi
2349590.0,0.19578814506530762,0,gurobi
2363179.0,0.22159600257873535,0,gurobi
2365199.0,0.6153299808502197,0,gurobi
2375089.0,0.6477391719818115,0,gurobi
2376405.0,0.6483521461486816,0,gurobi
2377985.0,0.6822099685668945,0,gurobi
2420079.0,0.6827750205993652,0,gurobi
2421377.0,0.7285621166229248,0,gurobi
2431725.0,0.7291491031646729,0,gurobi
2453476.0,0.7990529537200928,0,gurobi
2454474.0,0.8517870903015137,0,gurobi
2455471.0,0.9576280117034912,0,gurobi
2456843.0,1.167734146118164,0,gurobi
2464641.0,1.1683239936828613,0,gurobi
2464641.0,1.8511810302734375,0,gurobi
2467243.0,3.0649890899658203,0,gurobi
2476083.0,3.0655601024627686,0,gurobi
2479364.0,3.2682361602783203,0,gurobi
2480158.0,3.4400551319122314,0,gurobi
2480392.0,3.440664052963257,0,gurobi
2480392.0,24.650042057037354,0,gurobi
2480392.0,30.005445957183838,0,gurobi
2177299,0.00076,15,iqs
2208872,0.001547,18,iqs
2177299,0.000387,4,iqs
2236199,0.001988,21,iqs
2258890,0.001019,7,iqs
2244149,0.002417,24,iqs
2287404,0.001433,10,iqs
2199324,0.000344,6,iqs
2269920,0.002829,27,iqs
2366704,0.001844,14,iqs
2231833,0.001411,21,iqs
2366443,0.003416,36,iqs
2410447,0.002489,22,iqs
2137868,0.000349,6,iqs
2243005,0.001736,27,iqs
2381005,0.004229,52,iqs
2426973,0.003221,35,iqs
2257735,0.002377,36,iqs
2203943,0.001118,12,iqs
2388774,0.005057,66,iqs
2137868,0.000415,8,iqs
2327659,0.002848,46,iqs
2429446,0.003773,43,iqs
2286767,0.001776,27,iqs
2180888,0.001138,11,iqs
2433894,0.00569,78,iqs
2374127,0.003174,49,iqs
2434345,0.0043,52,iqs
2217642,0.001588,14,iqs
2438971,0.00614,85,iqs
2290812,0.002722,35,iqs
2437076,0.004811,56,iqs
2137868,0.00063,4,iqs
2378275,0.004349,65,iqs
2449987,0.006936,95,iqs
2257130,0.00254,22,iqs
2242801,0.001399,7,iqs
2298001,0.00386,47,iqs
2385666,0.005106,73,iqs
2272748,0.002986,25,iqs
2358822,0.002008,13,iqs
2442138,0.006217,76,iqs
2422617,0.005801,81,iqs
2273918,0.003565,38,iqs
2349962,0.005021,68,iqs
2404896,0.002719,22,iqs
2177299,0.000578,7,iqs
2297165,0.004003,41,iqs
2454435,0.009427,118,iqs
2423536,0.006867,97,iqs
2456283,0.00768,95,iqs
2209860,0.0014,13,iqs
2362347,0.006048,75,iqs
2331550,0.004496,44,iqs
2412271,0.004141,41,iqs
2137868,0.000566,6,iqs
2454618,0.010794,132,iqs
2210604,0.002362,21,iqs
2396580,0.00496,47,iqs
2390401,0.006822,85,iqs
2149021,0.00143,12,iqs
2463382,0.009307,108,iqs
2442770,0.008695,113,iqs
2223722,0.002758,25,iqs
2409136,0.005393,52,iqs
2417461,0.005559,61,iqs
2456843,0.011663,138,iqs
2177412,0.002017,18,iqs
2470206,0.009948,116,iqs
2258730,0.00321,29,iqs
2199324,0.00052,8,iqs
2393923,0.008434,113,iqs
2219054,0.002529,21,iqs
2449644,0.010177,127,iqs
2422932,0.006735,73,iqs
2308256,0.003688,32,iqs
2417234,0.007354,77,iqs
2221450,0.001551,21,iqs
2394977,0.009173,122,iqs
2199171,0.00049,5,iqs
2232159,0.003304,30,iqs
2317515,0.00427,38,iqs
2460755,0.013773,168,iqs
2474665,0.012289,139,iqs
2250475,0.002277,34,iqs
2272844,0.001279,8,iqs
2338481,0.004608,44,iqs
2405502,0.010081,130,iqs
2291561,0.00393,40,iqs
2474665,0.012407,145,iqs
2480392,0.014297,175,iqs
2428365,0.009094,95,iqs
2274970,0.002606,38,iqs
2363670,0.005018,47,iqs
2293755,0.004359,43,iqs
2199171,0.000679,7,iqs
2276891,0.002649,32,iqs
2419106,0.01145,146,iqs
2310408,0.003042,41,iqs
2418524,0.01125,106,iqs
2298342,0.004792,47,iqs
2428573,0.005824,57,iqs
2209197,0.001491,13,iqs
2137868,0.000596,6,iqs
2315590,0.003117,35,iqs
2451191,0.011794,149,iqs
2477211,0.015537,163,iqs
2434453,0.011173,116,iqs
2456843,0.012276,155,iqs
2423511,0.011851,112,iqs
2299590,0.005456,53,iqs
2239078,0.001875,16,iqs
2434583,0.006446,66,iqs
2155069,0.001443,9,iqs
2354548,0.003577,49,iqs
2367689,0.004123,49,iqs
2463977,0.012759,161,iqs
2435329,0.011955,131,iqs
2302234,0.00588,57,iqs
2267371,0.002235,22,iqs
2230129,0.00186,12,iqs
2376010,0.004365,58,iqs
2461625,0.007619,78,iqs
2371971,0.00505,63,iqs
2330462,0.006338,60,iqs
2435587,0.012609,139,iqs
2240792,0.00235,16,iqs
2433304,0.015168,135,iqs
2411216,0.004818,66,iqs
2416571,0.005402,66,iqs
2345077,0.006667,66,iqs
2479686,0.019375,195,iqs
2278964,0.002812,28,iqs
2477211,0.020203,211,iqs
2255188,0.002816,19,iqs
2437698,0.015915,147,iqs
2445137,0.01371,153,iqs
2356604,0.007134,69,iqs
2470858,0.009689,96,iqs
2419921,0.006026,79,iqs
2351581,0.003374,31,iqs
2262203,0.003142,23,iqs
2451193,0.016611,155,iqs
2356809,0.007638,75,iqs
2454394,0.014486,159,iqs
2421227,0.007842,88,iqs
2425948,0.006878,85,iqs
2375294,0.004128,53,iqs
2264263,0.004218,40,iqs
2454394,0.017308,167,iqs
2367228,0.008807,85,iqs
2393432,0.004816,64,iqs
2303474,0.005186,46,iqs
2393647,0.005124,68,iqs
2432575,0.008509,105,iqs
2394216,0.009416,92,iqs
2407276,0.009778,95,iqs
2396839,0.006013,77,iqs
2325333,0.006461,58,iqs
2459304,0.010791,112,iqs
2397318,0.006299,80,iqs
2411006,0.01014,98,iqs
2435612,0.01023,122,iqs
2479364,0.011516,118,iqs
