obj,time,oracles,method
4090154.0,0.1010739803314209,0,gurobi
4188331.0,0.3830101490020752,0,gurobi
4211665.0,1.0063209533691406,0,gurobi
4233306.0,1.743394136428833,0,gurobi
4239442.0,1.7873280048370361,0,gurobi
4248898.0,2.2748301029205322,0,gurobi
4263600.0,2.97993803024292,0,gurobi
4269891.0,3.144559144973755,0,gurobi
4276257.0,4.244619131088257,0,gurobi
4277865.0,8.450628995895386,0,gurobi
4277865.0,9.04795217514038,0,gurobi
4286222.0,20.784271955490112,0,gurobi
4293723.0,22.3644859790802,0,gurobi
3846883,0.000986,9,iqs
3894119,0.001813,13,iqs
3900515,0.002298,19,iqs
3811381,0.000981,10,iqs
3832406,0.001731,18,iqs
3885907,0.002243,21,iqs
3857800,0.001095,6,iqs
3926287,0.004172,34,iqs
3892872,0.002756,29,iqs
3816212,0.000601,5,iqs
3909511,0.003386,36,iqs
3846883,0.001476,14,iqs
3875171,0.003298,28,iqs
3917560,0.003863,42,iqs
3874973,0.001955,17,iqs
3884271,0.003745,31,iqs
3951943,0.006661,65,iqs
3914135,0.002448,20,iqs
4000819,0.007392,72,iqs
3943843,0.002879,23,iqs
3832170,0.00101,13,iqs
3926719,0.005607,57,iqs
3904773,0.004975,44,iqs
4045679,0.007938,81,iqs
3972156,0.003368,30,iqs
3863668,0.001974,22,iqs
3947638,0.006032,60,iqs
4050931,0.008868,89,iqs
3933718,0.005383,49,iqs
3996145,0.004265,36,iqs
3975712,0.006601,70,iqs
3872902,0.002689,33,iqs
3831872,0.001002,15,iqs
4097445,0.00929,95,iqs
4080592,0.004816,40,iqs
3849454,0.001822,18,iqs
4096631,0.005248,43,iqs
4119199,0.010332,104,iqs
3912824,0.004176,47,iqs
3972709,0.006166,56,iqs
4010662,0.008832,88,iqs
3875253,0.00242,24,iqs
4100438,0.005693,48,iqs
3819978,0.001227,6,iqs
3913359,0.004815,53,iqs
3991142,0.006935,59,iqs
4134625,0.011772,121,iqs
4115443,0.006417,54,iqs
3889623,0.003446,32,iqs
4001034,0.007547,63,iqs
3838521,0.002634,12,iqs
4011208,0.010541,104,iqs
3923033,0.006318,62,iqs
3836890,0.000901,6,iqs
4001200,0.008069,72,iqs
3901223,0.003316,15,iqs
4146739,0.008011,63,iqs
4061880,0.011434,110,iqs
4174013,0.013855,138,iqs
3864761,0.001834,9,iqs
3891036,0.005478,48,iqs
3964285,0.007415,70,iqs
3926216,0.003782,18,iqs
4005879,0.008697,76,iqs
4074787,0.011816,113,iqs
4181731,0.014546,141,iqs
3879194,0.002526,15,iqs
3905815,0.006291,54,iqs
4023364,0.009242,79,iqs
3969627,0.004964,28,iqs
4197534,0.015149,145,iqs
3806200,0.001728,13,iqs
3914231,0.003054,18,iqs
3976028,0.009165,82,iqs
3915050,0.006886,58,iqs
4041400,0.009836,83,iqs
4084211,0.013729,132,iqs
4005714,0.005794,37,iqs
4158247,0.011877,86,iqs
3816659,0.002683,16,iqs
3937054,0.003583,21,iqs
4000128,0.009761,85,iqs
4200453,0.016461,157,iqs
3917529,0.007657,66,iqs
4056409,0.010535,91,iqs
4142720,0.014696,140,iqs
3835216,0.00317,19,iqs
3878447,0.001239,9,iqs
4048764,0.00692,43,iqs
4015958,0.010203,88,iqs
3990789,0.004464,28,iqs
3930207,0.008078,69,iqs
4060930,0.010929,97,iqs
4167307,0.013899,107,iqs
4058790,0.010977,97,iqs
4125437,0.01127,104,iqs
3948661,0.002531,20,iqs
4066283,0.007887,56,iqs
3861816,0.003699,23,iqs
3935651,0.008692,76,iqs
4168362,0.016544,158,iqs
3874480,0.000574,4,iqs
4248071,0.019295,179,iqs
4119894,0.011434,104,iqs
4003409,0.005816,39,iqs
3958439,0.004186,37,iqs
4081279,0.008256,60,iqs
4181479,0.014943,113,iqs
3813041,0.00086,6,iqs
3891562,0.004138,26,iqs
3940253,0.009369,82,iqs
4180949,0.01711,164,iqs
3877912,0.001293,7,iqs
4142673,0.012021,112,iqs
4129932,0.011781,108,iqs
4108962,0.008575,63,iqs
4011070,0.006654,47,iqs
4183421,0.01559,120,iqs
3825096,0.001681,9,iqs
3985174,0.005719,50,iqs
3940348,0.004759,35,iqs
4260169,0.021455,197,iqs
3990414,0.010033,88,iqs
3884626,0.001719,10,iqs
4184199,0.018077,175,iqs
4138922,0.009141,66,iqs
4149241,0.013095,127,iqs
4144261,0.012826,114,iqs
3843825,0.00225,14,iqs
3990628,0.006059,53,iqs
4013656,0.007949,57,iqs
3991258,0.005225,38,iqs
3895647,0.00218,13,iqs
4029921,0.010713,94,iqs
4199461,0.018391,178,iqs
4160755,0.013557,138,iqs
4145008,0.013204,120,iqs
3874986,0.002723,20,iqs
4153470,0.010514,84,iqs
4029481,0.00839,63,iqs
4036373,0.006929,64,iqs
3901840,0.002718,21,iqs
4048676,0.01145,97,iqs
4186651,0.019965,147,iqs
3994565,0.006997,53,iqs
4088064,0.008746,69,iqs
4051808,0.007593,70,iqs
3902756,0.003294,27,iqs
4052062,0.011833,100,iqs
3927446,0.004214,30,iqs
4165279,0.015081,139,iqs
4190202,0.020847,153,iqs
4095468,0.009241,72,iqs
4061219,0.00809,73,iqs
3959130,0.003944,30,iqs
4058409,0.012285,106,iqs
4010762,0.008305,65,iqs
3974171,0.005314,36,iqs
4191288,0.01621,149,iqs
4098568,0.010175,81,iqs
4089652,0.01276,112,iqs
4196589,0.021768,163,iqs
3978402,0.004704,36,iqs
4163957,0.014648,107,iqs
4172433,0.018497,163,iqs
4046307,0.009111,73,iqs
4046915,0.006108,44,iqs
4195893,0.016905,155,iqs
4084320,0.009729,83,iqs
4113616,0.013154,118,iqs
3981586,0.00522,39,iqs
4155036,0.011543,93,iqs
4047414,0.009475,76,iqs
4173760,0.019431,170,iqs
4132009,0.013552,125,iqs
3986264,0.006088,50,iqs
4091771,0.011104,89,iqs
4058808,0.007835,55,iqs
4095041,0.010325,88,iqs
4196914,0.017416,125,iqs
4173607,0.012934,99,iqs
4037099,0.006673,54,iqs
4073502,0.008511,59,iqs
4098642,0.010773,91,iqs
4070857,0.007138,60,iqs
