obj,time,oracles,method
318028.0,0.002732992172241211,0,gurobi
322781.0,0.003422975540161133,0,gurobi
296049,0.000101,4,iqs
298689,0.000885,7,iqs
266352,0.000133,6,iqs
303217,0.001276,13,iqs
280523,0.00092,12,iqs
304787,0.001733,31,iqs
266352,0.000148,6,iqs
286468,0.001275,15,iqs
297721,0.000844,9,iqs
299982,0.00167,21,iqs
266352,0.000126,4,iqs
318028,0.002752,77,iqs
318028,0.001208,19,iqs
297737,0.000894,7,iqs
266352,8.9e-05,4,iqs
303217,0.002416,49,iqs
303217,0.001289,18,iqs
297737,0.000832,7,iqs
304787,0.001558,21,iqs
303217,0.001256,13,iqs
318028,0.001938,34,iqs
266352,0.000246,11,iqs
304787,0.001636,18,iqs
318028,0.003817,103,iqs
266352,0.000201,11,iqs
297721,0.001012,20,iqs
303217,0.000905,16,iqs
266352,0.000182,12,iqs
318028,0.002615,47,iqs
318028,0.001429,28,iqs
318028,0.00132,24,iqs
291181,0.000864,18,iqs
291132,0.00013,4,iqs
298406,0.001303,28,iqs
276459,0.000158,6,iqs
296049,0.000898,10,iqs
318028,0.001809,43,iqs
297721,0.000882,9,iqs
298689,0.001286,14,iqs
303217,0.001208,12,iqs
286468,0.000106,6,iqs
304787,0.00154,15,iqs
303217,0.001621,21,iqs
287874,0.000768,9,iqs
266352,0.000112,7,iqs
304787,0.002071,34,iqs
297564,0.001146,21,iqs
318028,0.002453,55,iqs
280523,0.000833,16,iqs
303217,0.001427,27,iqs
295040,0.00117,22,iqs
318028,0.001847,35,iqs
297737,0.001503,30,iqs
303217,0.001804,36,iqs
304787,0.002152,46,iqs
318028,0.005018,109,iqs
318028,0.003141,79,iqs
266352,0.000115,4,iqs
297737,0.000902,7,iqs
303217,0.001342,13,iqs
266352,0.0001,6,iqs
304787,0.001592,19,iqs
291181,0.000828,9,iqs
318028,0.002024,31,iqs
298406,0.001205,12,iqs
266352,0.000165,9,iqs
318028,0.001753,34,iqs
291181,0.000917,16,iqs
266352,0.000128,7,iqs
297737,0.00131,30,iqs
271020,0.00084,11,iqs
318028,0.001791,45,iqs
273031,0.001221,17,iqs
266352,0.000104,4,iqs
279151,0.001596,25,iqs
275631,0.000872,7,iqs
287874,0.001988,36,iqs
303217,0.001266,22,iqs
273031,0.000124,6,iqs
291132,0.002281,44,iqs
304787,0.001718,36,iqs
296049,0.000958,14,iqs
318028,0.002665,47,iqs
266352,0.000209,11,iqs
297721,0.00127,23,iqs
318028,0.002297,55,iqs
280523,0.0009,17,iqs
266352,8.9e-05,8,iqs
299982,0.001719,29,iqs
286468,0.001253,23,iqs
304787,0.002085,32,iqs
297737,0.000788,11,iqs
266352,0.00012,4,iqs
298406,0.001654,39,iqs
303217,0.001332,32,iqs
280523,0.000842,10,iqs
304787,0.002127,47,iqs
266352,0.000155,9,iqs
318028,0.003519,79,iqs
318028,0.001818,52,iqs
303217,0.001209,17,iqs
266352,0.00017,6,iqs
295040,0.00088,16,iqs
318028,0.003225,94,iqs
303217,0.000874,9,iqs
266352,8.4e-05,7,iqs
303217,0.001343,30,iqs
304787,0.001641,29,iqs
304787,0.0013,21,iqs
280523,0.000861,10,iqs
318028,0.001725,45,iqs
318028,0.002068,57,iqs
297737,0.001284,18,iqs
318028,0.00264,73,iqs
298406,0.001663,28,iqs
318028,0.002066,46,iqs
266352,0.000154,8,iqs
266352,0.000172,9,iqs
297737,0.000934,14,iqs
291181,0.000885,12,iqs
318028,0.001411,33,iqs
273031,0.000136,3,iqs
295040,0.001232,22,iqs
266352,8.7e-05,3,iqs
291132,0.000944,14,iqs
297737,0.001687,28,iqs
275631,0.000832,6,iqs
296049,0.00132,23,iqs
303217,0.002073,35,iqs
295040,0.001217,9,iqs
266352,0.000159,3,iqs
303217,0.001769,29,iqs
318028,0.002479,46,iqs
298689,0.001568,16,iqs
297737,0.000926,12,iqs
304787,0.002306,46,iqs
303217,0.001271,18,iqs
318028,0.00194,29,iqs
266352,0.000146,11,iqs
266352,9.7e-05,3,iqs
304787,0.001642,27,iqs
318028,0.003323,80,iqs
291181,0.000944,14,iqs
280523,0.000871,12,iqs
266352,0.000126,3,iqs
297737,0.00141,27,iqs
299982,0.001267,15,iqs
276459,0.000853,6,iqs
303217,0.001745,34,iqs
266352,0.000105,3,iqs
318028,0.001831,26,iqs
278908,0.001255,14,iqs
291181,0.000853,14,iqs
266352,0.000182,3,iqs
318028,0.001603,17,iqs
318028,0.00219,47,iqs
303217,0.000882,9,iqs
318028,0.005104,148,iqs
295040,0.001262,17,iqs
266352,9.2e-05,3,iqs
303217,0.001604,23,iqs
304787,0.001311,20,iqs
276459,0.000749,7,iqs
318028,0.001966,33,iqs
276459,8.6e-05,3,iqs
296049,0.001149,13,iqs
303217,0.000828,12,iqs
303217,0.001681,26,iqs
304787,0.001231,23,iqs
304787,0.002062,33,iqs
318028,0.00166,42,iqs
318028,0.002341,39,iqs
318028,0.006373,122,iqs
