obj,time,oracles,method
6295406.0,0.04976320266723633,0,gurobi
6310756.0,0.6601951122283936,0,gurobi
6338141.0,0.6610500812530518,0,gurobi
6406546.0,1.3445780277252197,0,gurobi
6789015.0,1.3596930503845215,0,gurobi
6867981.0,5.782210111618042,0,gurobi
6879516.0,5.783059120178223,0,gurobi
6884495.0,5.7940590381622314,0,gurobi
6913783.0,5.797844171524048,0,gurobi
6922586.0,8.193243980407715,0,gurobi
6927467.0,9.43485713005066,0,gurobi
6936845.0,11.349390983581543,0,gurobi
6942877.999999995,15.145079135894775,0,gurobi
6945083.0,24.69672203063965,0,gurobi
6117984,0.001957,12,iqs
6138190,0.003076,16,iqs
6169537,0.003849,21,iqs
6173160,0.004345,24,iqs
6179537,0.004976,27,iqs
6060167,0.003641,16,iqs
6112185,0.002621,9,iqs
6092908,0.004695,20,iqs
6127122,0.003661,13,iqs
6231032,0.006588,33,iqs
6223647,0.005399,25,iqs
6186634,0.00438,16,iqs
6251009,0.007166,36,iqs
6208903,0.00479,19,iqs
6237755,0.006273,28,iqs
6251171,0.007625,43,iqs
6215815,0.005233,23,iqs
6244339,0.007036,31,iqs
6269009,0.005989,26,iqs
6279576,0.007616,37,iqs
6257899,0.009052,49,iqs
6275022,0.007107,36,iqs
6304691,0.008502,43,iqs
6260012,0.009998,61,iqs
6100053,0.007109,21,iqs
6275536,0.010442,64,iqs
6353293,0.009543,49,iqs
6227854,0.008208,27,iqs
6280925,0.008422,45,iqs
6082720,0.003272,11,iqs
6137851,0.006169,19,iqs
6252425,0.008729,30,iqs
6388966,0.010343,58,iqs
6326994,0.011854,71,iqs
6120240,0.005548,25,iqs
6102292,0.004277,17,iqs
6341716,0.009568,51,iqs
6188076,0.007323,25,iqs
6350577,0.012374,74,iqs
6266217,0.009696,36,iqs
6106647,0.003491,20,iqs
6060314,0.008973,24,iqs
6202145,0.004715,21,iqs
6210913,0.006806,29,iqs
6230710,0.007829,31,iqs
6405430,0.012096,66,iqs
6334193,0.010491,40,iqs
6444538,0.013374,87,iqs
6094572,0.009994,30,iqs
6351793,0.011214,62,iqs
6233131,0.005686,26,iqs
6283252,0.007649,32,iqs
6176225,0.00532,34,iqs
6416096,0.012636,69,iqs
6253156,0.00862,34,iqs
6343578,0.011005,46,iqs
6082720,0.001772,3,iqs
6307550,0.006366,29,iqs
6120489,0.011139,39,iqs
6316378,0.008319,35,iqs
6241065,0.006061,41,iqs
6369791,0.012593,71,iqs
6266455,0.009639,43,iqs
6118540,0.003109,7,iqs
6148917,0.004795,14,iqs
6369003,0.009019,39,iqs
6389141,0.012804,54,iqs
6399696,0.013259,74,iqs
6163786,0.003585,11,iqs
6306700,0.010356,46,iqs
6339429,0.006873,35,iqs
6422235,0.015933,90,iqs
6199025,0.005818,17,iqs
