obj,time,oracles,method
6343138.0,0.2792799472808838,0,gurobi
6383056.0,16.20935583114624,0,gurobi
6412589.0,19.064000844955444,0,gurobi
6414473.0,19.064827919006348,0,gurobi
6493527.0,20.917576789855957,0,gurobi
6539591.0,22.0984787940979,0,gurobi
6548596.0,22.099874019622803,0,gurobi
6587562.0,22.68033480644226,0,gurobi
6608763.0,23.467026948928833,0,gurobi
6608921.0,23.467944860458374,0,gurobi
6644612.0,25.13705587387085,0,gurobi
6002615,0.001347,4,iqs
6102143,0.002372,7,iqs
6021212,0.003357,16,iqs
6021905,0.004395,19,iqs
6113085,0.003498,16,iqs
5890790,0.002585,6,iqs
5985463,0.001517,6,iqs
6159372,0.003961,23,iqs
6051532,0.00509,22,iqs
5960381,0.003643,9,iqs
6069449,0.002644,9,iqs
6060867,0.005682,29,iqs
6033357,0.004196,12,iqs
6090008,0.006238,35,iqs
6086442,0.003533,12,iqs
6203530,0.005625,35,iqs
6122132,0.004872,15,iqs
6120001,0.006681,38,iqs
6107525,0.004453,15,iqs
5890790,0.002098,7,iqs
6139610,0.007212,23,iqs
5995444,0.004978,15,iqs
5979594,0.001902,4,iqs
6218181,0.008389,46,iqs
5990746,0.003323,10,iqs
6174301,0.006285,23,iqs
6144963,0.007867,26,iqs
6148138,0.010185,55,iqs
6090832,0.006429,23,iqs
6230071,0.009009,49,iqs
5988819,0.003103,7,iqs
5985479,0.001926,6,iqs
6039376,0.003885,16,iqs
6162008,0.008703,29,iqs
6048874,0.003078,9,iqs
6088926,0.004974,34,iqs
6013319,0.004404,14,iqs
6167457,0.011858,61,iqs
6144475,0.008663,33,iqs
6220310,0.008686,34,iqs
5928509,0.001963,7,iqs
6096976,0.005807,37,iqs
6197392,0.009356,36,iqs
5960961,0.003787,12,iqs
6230062,0.01119,37,iqs
6236952,0.012358,61,iqs
6043995,0.005668,24,iqs
6072352,0.004998,15,iqs
5947298,0.003107,12,iqs
6179985,0.014394,71,iqs
6239608,0.010336,40,iqs
6224091,0.011105,46,iqs
5967773,0.005025,15,iqs
6117666,0.007908,43,iqs
6239495,0.012563,44,iqs
5979672,0.002067,4,iqs
6247359,0.014899,74,iqs
6074798,0.007126,33,iqs
6004753,0.001815,6,iqs
6181905,0.006565,22,iqs
6253173,0.014398,69,iqs
6128295,0.008621,54,iqs
5983155,0.005891,18,iqs
5976352,0.004744,23,iqs
6131763,0.007615,38,iqs
6292138,0.012283,48,iqs
6268520,0.013665,54,iqs
6250730,0.015775,80,iqs
6071766,0.003879,12,iqs
6090413,0.002984,9,iqs
6268642,0.014882,72,iqs
6137357,0.009198,57,iqs
6047972,0.006567,21,iqs
6047147,0.005423,28,iqs
6247871,0.008188,41,iqs
6146224,0.008253,41,iqs
6232096,0.014619,59,iqs
6337335,0.014166,61,iqs
6328675,0.013082,61,iqs
6307112,0.016217,83,iqs
6133375,0.003389,15,iqs
6137404,0.00459,15,iqs
6275740,0.015766,80,iqs
6154694,0.010028,63,iqs
6047540,0.005923,31,iqs
6057627,0.007495,27,iqs
6150407,0.008882,51,iqs
6253596,0.009548,54,iqs
6383207,0.013674,65,iqs
6181486,0.004579,23,iqs
6336045,0.018221,89,iqs
6092858,0.008074,33,iqs
6051694,0.006508,35,iqs
6188279,0.005101,29,iqs
6187412,0.009526,54,iqs
6293447,0.010179,62,iqs
6337794,0.017707,82,iqs
6348218,0.019455,99,iqs
6415203,0.014339,71,iqs
6328899,0.01652,87,iqs
6266992,0.017152,71,iqs
6186558,0.012387,77,iqs
6064220,0.007006,42,iqs
6093030,0.00903,41,iqs
6156930,0.006415,24,iqs
6201182,0.005779,32,iqs
6237451,0.010104,57,iqs
6295857,0.011384,70,iqs
6216506,0.012972,80,iqs
6343685,0.01936,90,iqs
6278351,0.018074,77,iqs
6422376,0.017571,93,iqs
6178044,0.00701,30,iqs
6072316,0.008339,51,iqs
6215416,0.006452,39,iqs
6124050,0.01016,48,iqs
6240941,0.010793,61,iqs
6216341,0.006977,42,iqs
6311803,0.012909,79,iqs
6285903,0.01457,91,iqs
6356575,0.020412,96,iqs
6297198,0.0116,64,iqs
6204131,0.00832,39,iqs
6244732,0.007543,45,iqs
6081788,0.009104,57,iqs
6283797,0.020269,88,iqs
6171196,0.011303,54,iqs
6355397,0.025126,133,iqs
6276192,0.008344,48,iqs
6089251,0.009847,60,iqs
6229049,0.009763,50,iqs
6421126,0.020253,91,iqs
6175257,0.01217,57,iqs
6310466,0.016859,97,iqs
6116775,0.010475,64,iqs
6278996,0.009279,51,iqs
6212950,0.012624,63,iqs
6118786,0.011566,71,iqs
6312048,0.010335,60,iqs
6451616,0.022488,99,iqs
6346206,0.018656,105,iqs
6123333,0.012106,77,iqs
6226742,0.013552,69,iqs
6301187,0.017123,86,iqs
6233289,0.013682,64,iqs
6452029,0.023979,107,iqs
6241887,0.014112,72,iqs
6156329,0.012553,80,iqs
6373308,0.019199,99,iqs
6355681,0.020145,115,iqs
6359510,0.026349,106,iqs
6290485,0.015001,75,iqs
6212738,0.013267,83,iqs
6382682,0.020612,121,iqs
6360744,0.02842,126,iqs
6453119,0.02538,120,iqs
6343778,0.019426,101,iqs
6338626,0.013816,89,iqs
6426328,0.028353,122,iqs
6349741,0.014939,77,iqs
6377514,0.029175,129,iqs
6455475,0.021331,111,iqs
6420267,0.03312,158,iqs
6321880,0.016958,81,iqs
6482751,0.027123,127,iqs
6390801,0.015867,97,iqs
6366674,0.021982,115,iqs
6421800,0.031569,137,iqs
6487009,0.028541,136,iqs
6429926,0.032027,137,iqs
6292588,0.021294,90,iqs
6373985,0.031901,125,iqs
6463876,0.032719,143,iqs
6472802,0.025644,125,iqs
6369672,0.024391,123,iqs
6351899,0.020743,96,iqs
6395978,0.03245,129,iqs
6516287,0.029021,139,iqs
6473393,0.026261,129,iqs
6418159,0.032887,136,iqs
6437065,0.033476,144,iqs
6375313,0.02633,133,iqs
6310716,0.024675,102,iqs
6388360,0.030786,147,iqs
6426741,0.040433,177,iqs
6363100,0.023448,107,iqs
6382093,0.027506,139,iqs
6499193,0.040929,180,iqs
6434531,0.035649,148,iqs
6449733,0.035758,150,iqs
6525010,0.041412,183,iqs
6386319,0.023912,113,iqs
6406568,0.028507,147,iqs
6408038,0.033464,157,iqs
6412071,0.026011,122,iqs
6547870,0.042488,192,iqs
6409435,0.025483,124,iqs
6341374,0.030234,120,iqs
6442918,0.02985,153,iqs
6355294,0.030815,122,iqs
6410139,0.036273,166,iqs
6510220,0.040918,164,iqs
6414377,0.027669,134,iqs
6352168,0.032245,132,iqs
6477933,0.032313,161,iqs
6456933,0.031978,148,iqs
6437224,0.029641,144,iqs
6456496,0.03922,180,iqs
6519827,0.042529,168,iqs
6513622,0.032955,154,iqs
6547018,0.04327,174,iqs
6368100,0.038295,148,iqs
6505327,0.051338,181,iqs
6481842,0.044554,202,iqs
6427572,0.041121,161,iqs
6519484,0.052276,187,iqs
6478800,0.046977,173,iqs
6437270,0.038156,181,iqs
6487173,0.041686,184,iqs
6362445,0.043251,156,iqs
6483971,0.048781,183,iqs
6368609,0.044663,165,iqs
6451035,0.044334,176,iqs
6503879,0.044247,199,iqs
6562768,0.049882,224,iqs
6440843,0.044244,202,iqs
6496818,0.054296,206,iqs
6506698,0.046967,214,iqs
6475320,0.046866,210,iqs
6413919,0.053496,195,iqs
6557544,0.059633,206,iqs
6575535,0.04814,224,iqs
6485164,0.05033,223,iqs
