obj,time,oracles,method
8915193.0,0.3733968734741211,0,gurobi
8943361.0,0.39916396141052246,0,gurobi
8960984.0,0.7952978610992432,0,gurobi
9021626.0,0.7960739135742188,0,gurobi
9052404.0,0.813450813293457,0,gurobi
9122613.0,1.558547019958496,0,gurobi
9125003.0,6.3610358238220215,0,gurobi
9159726.0,6.884677886962891,0,gurobi
9198600.0,9.03566598892212,0,gurobi
9206594.0,9.036417007446289,0,gurobi
9206831.0,9.03705382347107,0,gurobi
9806183.0,9.071857929229736,0,gurobi
9829393.0,30.0156729221344,0,gurobi
8820491,0.030498,52,iqs
8826388,0.031762,55,iqs
8854257,0.032368,58,iqs
8875101,0.032823,64,iqs
8887314,0.033401,70,iqs
8931967,0.034236,76,iqs
9001164,0.034535,79,iqs
9035980,0.037643,92,iqs
9057552,0.045894,113,iqs
8722533,0.044578,67,iqs
8737342,0.045998,74,iqs
8748292,0.04675,78,iqs
8782032,0.047503,81,iqs
8815499,0.047827,87,iqs
8819090,0.049386,97,iqs
8855306,0.049709,103,iqs
8871835,0.050177,106,iqs
8924393,0.050508,110,iqs
8942037,0.051287,116,iqs
8979585,0.052381,122,iqs
8985733,0.052706,126,iqs
9035648,0.053758,133,iqs
9049183,0.055202,143,iqs
9063792,0.062703,145,iqs
9075491,0.056912,151,iqs
9094793,0.057256,154,iqs
9082510,0.07405,174,iqs
9101302,0.070541,188,iqs
9120513,0.105576,247,iqs
9088425,0.121099,258,iqs
9131481,0.129353,297,iqs
9094266,0.139908,294,iqs
8882605,0.195908,124,iqs
8900202,0.196795,130,iqs
8932327,0.197308,135,iqs
8970280,0.197779,138,iqs
8976269,0.19822,145,iqs
9010554,0.199413,155,iqs
9012237,0.199918,158,iqs
9025431,0.200846,164,iqs
9028775,0.204233,183,iqs
9056672,0.20756,194,iqs
9069750,0.230537,233,iqs
9079319,0.235709,249,iqs
8760454,0.256818,173,iqs
8805275,0.25784,179,iqs
8810972,0.258585,185,iqs
8822598,0.259222,190,iqs
8846464,0.259918,193,iqs
8909486,0.260551,200,iqs
8939044,0.261611,206,iqs
8954821,0.263496,221,iqs
8976691,0.264183,227,iqs
9067519,0.264618,231,iqs
9075840,0.265512,244,iqs
9088849,0.267479,256,iqs
9114173,0.267895,262,iqs
9119495,0.270943,270,iqs
9131703,0.275723,288,iqs
9135972,0.284689,313,iqs
9082676,0.268111,300,iqs
9100718,0.268754,304,iqs
9145168,0.287269,324,iqs
8789103,0.273995,132,iqs
8856992,0.275629,138,iqs
8862330,0.277239,149,iqs
8866294,0.277723,154,iqs
8920724,0.278357,157,iqs
8921013,0.278703,164,iqs
8954826,0.279352,168,iqs
9062701,0.281831,185,iqs
9084249,0.288284,202,iqs
9084741,0.289577,208,iqs
9096902,0.294173,222,iqs
9110588,0.338894,387,iqs
9101868,0.33846,273,iqs
9151530,0.372561,430,iqs
9116212,0.358739,429,iqs
9102916,0.363555,336,iqs
9111109,0.367794,350,iqs
9116810,0.371142,362,iqs
8779615,0.391218,180,iqs
8806108,0.391957,187,iqs
8824813,0.392689,191,iqs
8869944,0.393574,197,iqs
8934221,0.393905,200,iqs
8956698,0.394378,206,iqs
8981821,0.394975,213,iqs
8988278,0.396075,224,iqs
8994347,0.397713,236,iqs
9035741,0.398571,244,iqs
9043040,0.400906,258,iqs
9119377,0.383524,394,iqs
9120163,0.38903,496,iqs
9121978,0.392892,420,iqs
9043924,0.413991,290,iqs
9047438,0.414574,293,iqs
9054049,0.415983,299,iqs
9130167,0.39738,441,iqs
9101322,0.418672,457,iqs
9057605,0.424065,317,iqs
9059893,0.427863,330,iqs
9105408,0.426182,485,iqs
9075566,0.431369,342,iqs
9077781,0.437002,358,iqs
9084315,0.438073,366,iqs
9106804,0.441924,383,iqs
8771576,0.439717,191,iqs
8788831,0.44046,195,iqs
8823122,0.441074,198,iqs
8835617,0.441988,204,iqs
8877365,0.442451,207,iqs
9145168,0.428922,493,iqs
8879662,0.443087,213,iqs
8975595,0.444001,219,iqs
9125063,0.45137,421,iqs
8978748,0.457345,254,iqs
8983166,0.458278,261,iqs
8993751,0.459438,267,iqs
9024165,0.460592,273,iqs
9039305,0.462884,284,iqs
9043207,0.46752,313,iqs
9070641,0.470431,323,iqs
9127806,0.481121,486,iqs
9079441,0.486153,359,iqs
9083961,0.486651,362,iqs
9102755,0.48728,365,iqs
9135972,0.497873,517,iqs
9103141,0.510186,407,iqs
9142529,0.520938,563,iqs
9106800,0.513534,420,iqs
9143897,0.523265,576,iqs
9112112,0.529715,578,iqs
9148506,0.541519,614,iqs
9123749,0.530123,600,iqs
9115134,0.545667,614,iqs
9124058,0.539598,619,iqs
8773762,0.558535,246,iqs
8808997,0.560151,252,iqs
8821450,0.561237,258,iqs
8877150,0.562458,265,iqs
8905193,0.563514,273,iqs
9031721,0.563865,279,iqs
9034413,0.564922,285,iqs
9067141,0.565846,293,iqs
9090057,0.569473,305,iqs
9151937,0.556208,599,iqs
9124753,0.580873,682,iqs
9090829,0.604278,357,iqs
9099204,0.605683,369,iqs
9111088,0.60602,372,iqs
9107613,0.609981,518,iqs
9134703,0.609533,496,iqs
9119202,0.624805,695,iqs
8741477,0.638028,248,iqs
8808645,0.639751,255,iqs
8836128,0.64051,258,iqs
8854768,0.641256,261,iqs
9155332,0.641885,707,iqs
8855496,0.642591,270,iqs
8924029,0.643385,273,iqs
8943595,0.644894,285,iqs
8948216,0.646503,296,iqs
8956291,0.647591,307,iqs
8958733,0.648993,314,iqs
8991455,0.650398,320,iqs
8991666,0.655564,338,iqs
8992116,0.656042,343,iqs
8993261,0.657122,353,iqs
9041758,0.657762,356,iqs
9052184,0.65884,364,iqs
9068345,0.661392,379,iqs
9108793,0.659277,577,iqs
9078358,0.671264,404,iqs
9086001,0.672556,414,iqs
9119237,0.675182,422,iqs
9115679,0.669373,605,iqs
9129318,0.683481,445,iqs
9133906,0.685408,457,iqs
9136501,0.691813,480,iqs
9134491,0.697215,459,iqs
9137218,0.703264,521,iqs
8870897,0.769471,264,iqs
8889270,0.770343,269,iqs
8905403,0.770846,275,iqs
8922261,0.771644,280,iqs
8937408,0.771993,283,iqs
8993986,0.772342,286,iqs
9017131,0.773252,295,iqs
9027384,0.774473,305,iqs
9028720,0.775968,315,iqs
9144963,0.78021,807,iqs
9035794,0.786725,348,iqs
9039100,0.806779,390,iqs
9137218,0.819358,588,iqs
9043998,0.809406,401,iqs
9055227,0.8099,404,iqs
9072060,0.811301,413,iqs
9117752,0.818116,711,iqs
9099628,0.819294,434,iqs
9120247,0.838263,753,iqs
9141692,0.857581,801,iqs
9158900,0.871802,661,iqs
9108762,0.862477,507,iqs
9135416,0.870327,651,iqs
9117126,0.881778,543,iqs
9129038,0.884507,552,iqs
9141819,0.891649,858,iqs
9129785,0.894542,576,iqs
9131703,0.904988,603,iqs
9133774,0.910959,620,iqs
9137122,0.950931,685,iqs
9154382,0.964871,718,iqs
9158900,0.977875,947,iqs
9158900,1.04799,796,iqs
9151937,1.157493,761,iqs
8777588,1.194799,368,iqs
8794089,1.196157,376,iqs
8876106,1.197513,385,iqs
8881977,1.197852,388,iqs
8959529,1.19819,392,iqs
8977756,1.199337,399,iqs
8982848,1.200028,402,iqs
8993518,1.200371,405,iqs
9025635,1.202526,413,iqs
9044555,1.204977,426,iqs
9072554,1.211479,448,iqs
9080447,1.211966,451,iqs
9090470,1.212443,454,iqs
9100074,1.215102,463,iqs
9101425,1.222786,483,iqs
9111394,1.263652,540,iqs
9158900,1.401174,1028,iqs
9118643,1.451647,664,iqs
9131837,1.49587,724,iqs
8835764,2.518217,514,iqs
8886456,2.520383,523,iqs
8916881,2.522288,532,iqs
8959418,2.522931,538,iqs
8967434,2.524731,551,iqs
9006065,2.525801,557,iqs
9034482,2.526867,566,iqs
9076382,2.529124,572,iqs
9085850,2.530643,581,iqs
9094550,2.531847,587,iqs
9100326,2.537216,600,iqs
9112029,2.541779,617,iqs
9116602,2.592748,670,iqs
9118881,2.595144,678,iqs
9119646,2.665744,747,iqs
9141159,2.751353,990,iqs
9158900,2.778194,1044,iqs
9134790,3.649225,1158,iqs
9137787,3.717981,1255,iqs
9144963,4.01497,1446,iqs
9137888,13.220034,1605,iqs
9148208,13.293669,1692,iqs
9124753,15.883966,1793,iqs
9126349,16.031167,1910,iqs
9128487,16.068409,1968,iqs
9131481,16.316834,2104,iqs
9134703,16.429875,2204,iqs
9135416,16.520882,2278,iqs
9136894,33.623824,3455,iqs
9137909,33.963111,3614,iqs
9146901,33.976422,3643,iqs
9154382,34.108834,3733,iqs
9158900,34.116057,3754,iqs
9150250,40.538823,3167,iqs
9161640,40.673941,3263,iqs
9132254,95.137278,3210,iqs
9132819,95.156384,3251,iqs
9141399,95.158041,3261,iqs
9144539,95.290078,3356,iqs
9149798,130.763913,4870,iqs
9150250,181.406914,7216,iqs
9161640,181.622306,7367,iqs
9155332,211.28078,4498,iqs
9158900,217.319121,5148,iqs
9153554,538.411833,5513,iqs
9155332,548.267231,6849,iqs
9158900,549.495243,7377,iqs
8801562,0.024846,64,iqs
8832345,0.025999,67,iqs
8839709,0.02656,73,iqs
8867331,0.026858,76,iqs
8901895,0.027484,79,iqs
8975651,0.027753,82,iqs
8978885,0.028877,93,iqs
8980013,0.029626,99,iqs
8995335,0.029906,105,iqs
9030252,0.030756,111,iqs
9030720,0.031145,114,iqs
9038611,0.036203,141,iqs
9049166,0.047104,171,iqs
9052077,0.0506,184,iqs
9066105,0.051212,187,iqs
9089917,0.056615,208,iqs
9090333,0.077816,259,iqs
8839504,0.172678,164,iqs
8881233,0.174273,175,iqs
8949974,0.175973,183,iqs
8962526,0.176341,188,iqs
8986920,0.177516,197,iqs
9012454,0.178322,203,iqs
9049294,0.179932,214,iqs
9079353,0.181911,222,iqs
9084691,0.193863,252,iqs
9107819,0.182248,373,iqs
9105027,0.197457,269,iqs
8805014,0.279223,237,iqs
8818354,0.280331,245,iqs
8821628,0.280741,249,iqs
8830412,0.281035,252,iqs
8843581,0.282638,261,iqs
8848698,0.283152,266,iqs
8889403,0.284592,275,iqs
8979096,0.284954,278,iqs
8999020,0.285371,282,iqs
9007664,0.287108,294,iqs
9022371,0.287529,300,iqs
9040792,0.290549,317,iqs
9043795,0.294348,333,iqs
9060631,0.304529,364,iqs
9061693,0.309731,387,iqs
9064961,0.310926,395,iqs
9111773,0.300577,372,iqs
9071566,0.312284,406,iqs
9081200,0.315601,425,iqs
9097378,0.317843,437,iqs
8756360,0.334865,190,iqs
8833504,0.336189,199,iqs
9098570,0.340797,481,iqs
8873781,0.336719,203,iqs
8889884,0.337394,206,iqs
8915853,0.33794,209,iqs
8980098,0.338234,212,iqs
8980126,0.339562,220,iqs
8981898,0.340255,223,iqs
8987622,0.34069,226,iqs
8989205,0.342545,241,iqs
9027296,0.343256,247,iqs
9037194,0.344478,256,iqs
9042689,0.345553,262,iqs
9054264,0.353736,292,iqs
9061840,0.355928,302,iqs
9072630,0.361132,323,iqs
9074326,0.362878,331,iqs
9117575,0.365267,439,iqs
9124818,0.367676,454,iqs
9098562,0.379467,363,iqs
9110989,0.377335,517,iqs
8765721,0.433272,253,iqs
8788810,0.434263,260,iqs
8851250,0.435623,266,iqs
8867836,0.43628,272,iqs
8895780,0.43734,281,iqs
9103977,0.457252,580,iqs
8896415,0.440153,295,iqs
8948108,0.440806,299,iqs
8958685,0.441448,302,iqs
8819501,0.447247,265,iqs
8996743,0.442866,310,iqs
8828389,0.447883,268,iqs
8839186,0.448386,274,iqs
9023504,0.444453,321,iqs
