obj,time,oracles,method
4170836.0,0.1032259464263916,0,gurobi
4235869.0,0.2945890426635742,0,gurobi
4253882.0,0.2951810359954834,0,gurobi
4461894.0,0.4499850273132324,0,gurobi
4565462.0,0.6288020610809326,0,gurobi
4565575.000000001,4.934496164321899,0,gurobi
4574563.0,5.031835079193115,0,gurobi
4578195.0,5.741029977798462,0,gurobi
3935513,0.000578,7,iqs
4002743,0.001391,10,iqs
4018730,0.001791,16,iqs
3935513,0.000575,7,iqs
4044263,0.002245,20,iqs
4064479,0.001316,10,iqs
4062984,0.002597,24,iqs
4112365,0.001656,13,iqs
4076804,0.003095,31,iqs
3947925,0.000584,4,iqs
4124654,0.002062,16,iqs
4109388,0.003611,40,iqs
4189951,0.002528,20,iqs
4206465,0.004169,43,iqs
3994194,0.002093,17,iqs
4204215,0.003195,30,iqs
4209485,0.004645,49,iqs
3997656,0.002438,20,iqs
4026796,0.003112,32,iqs
4257221,0.005509,61,iqs
3911855,0.000545,6,iqs
4049499,0.003545,35,iqs
4288814,0.006098,64,iqs
3926952,0.00131,10,iqs
3911855,0.001262,6,iqs
4206053,0.005512,48,iqs
4095129,0.00423,39,iqs
3946044,0.002011,9,iqs
3957304,0.002159,22,iqs
3911855,0.000686,11,iqs
3963702,0.002454,15,iqs
3968769,0.002688,26,iqs
4120533,0.005109,48,iqs
4314951,0.007899,75,iqs
3914571,0.001486,14,iqs
3978008,0.003012,21,iqs
3970605,0.00304,29,iqs
4267169,0.007493,69,iqs
4123000,0.005874,56,iqs
3931162,0.001877,20,iqs
4008168,0.003451,24,iqs
4025326,0.003555,35,iqs
4081168,0.003815,27,iqs
3936905,0.002509,23,iqs
4323777,0.009639,90,iqs
4047963,0.00391,38,iqs
4156024,0.006968,65,iqs
3972937,0.002899,26,iqs
4051671,0.004446,41,iqs
3953392,0.00249,23,iqs
4156303,0.007768,71,iqs
3987580,0.003594,32,iqs
4375929,0.011185,104,iqs
3965762,0.003344,31,iqs
4001427,0.003937,35,iqs
3953392,0.001745,12,iqs
4286057,0.01089,86,iqs
4052672,0.00542,51,iqs
4100494,0.006267,47,iqs
3966800,0.003818,36,iqs
4255556,0.008826,81,iqs
4397937,0.011957,112,iqs
4035011,0.00444,39,iqs
3973908,0.002744,15,iqs
4066059,0.005962,55,iqs
4030661,0.004301,41,iqs
4289084,0.012233,96,iqs
4108642,0.007268,58,iqs
3964256,0.000892,6,iqs
4090811,0.006303,62,iqs
